taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	GOLD Analysis Project Type	Add Date	Assembly Method	Comments	Has Coverage	Is Public	Release Date	User Access	Contact Email	Contact Name	Is Published	Sequencing Method	Ecosystem	Ecosystem Category	Ecosystem Subtype	Ecosystem Type	Specific Ecosystem	Altitude In Meters	Depth In Meters	Elevation In Meters	Geographic Location	Habitat	Isolation Country	Latitude	Longitude	Genome Size   * assembled	Gene Count   * assembled	JGI Data Utilization Status	
3300002539	*Microbiome	Permanent Draft	Hot spring microbial communities from Yellowstone National Park	Hot spring thermophilic microbial communities from Obsidian Pool, Yellowstone National Park, USA - site 3 bottle 8	DOE Joint Genome Institute (JGI)	3300002539	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Unclassified	Hot spring microbial communities from Yellowstone National Park	Metagenome Analysis	2014-04-21			Yes	Yes	2014-10-18		blumerschuette@oakland.edu, blumerschuette@oakland.edu; rmkelly@ncsu.edu	Sara Blumer-Schuette, Sara Blumer-Schuette; Robert Kelly	No	Illumina HiSeq 2000, Illumina HiSeq 2500	Environmental	Aquatic	Hot (42-90C)	Thermal springs	Unclassified			2400	Yellowstone National Park, Wyoming, USA	Hot spring	USA	44.6102	-110.4387	14752731	21318	Unrestricted	
3300022344	*Microbiome	Permanent Draft	Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia	Microbial mat bacterial and archaeal communities from Serpentine Lake, Rottnest Island (WA - Australia) - SL1BM3 JM24	AGRF	3300022344	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	Microbial mats	Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia	Metagenome Analysis	2017-12-14	Unkown	released by JGI data releasing policy	Yes	Yes	2021-03-03		deirdre.gleeson@uwa.edu.au	Deirdre Gleeson	No	Illumina HiSeq 2500	Environmental	Aquatic	Hypersaline	Non-marine Saline and Alkaline	Microbial mats				Australia: Serpentine Lake, Rottnest Island, Western Australia	Microbial mat	Australia	-32.002717	115.525989	37541183	64160		
3300028816	*Microbiome	Permanent Draft	Microbial communities from Yellowstone National Park hot springs 2017	Hot spring sediment microbial communities from Mouthful Geyser Outflow 2, Yellowstone National Park, USA - 170629F	University of Minnesota	3300028816	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Sediment	Microbial communities from Yellowstone National Park hot springs 2017	Metagenome Analysis	2018-08-10	SPAdes v. 3.11.0	released by JGI data releasing policy	Yes	Yes	2022-03-04		trinityh@umn.edu	Trinity Hamilton	No	Illumina HiSeq 2500	Environmental	Aquatic	Hot (42-90C)	Thermal springs	Sediment			2237	USA: Yellowstone National Park, WY	Hot spring sediment	USA	44.5325	-110.7978	104661654	234717		
3300035041	*Microbiome	Permanent Draft	Methane metabolizing microbial communities from different methane-rich environments from various locations	Oil reservoir microbial communities from oil well in Texas, United States - B3.9_Sample3.Rodeo9.Well667	DOE Joint Genome Institute (JGI)	3300035041	Environmental	Terrestrial	Deep subsurface	Oil well	Unclassified	Methane metabolizing microbial communities from different methane-rich environments from various locations	Metagenome Analysis	2019-12-09	metaspades v. 3.13.0		Yes	Yes	2019-08-12		sean.crowe@ubc.ca	Sean Crowe	No	Illumina NovaSeq	Environmental	Terrestrial	Oil well	Deep subsurface	Unclassified		0		USA: Texas	oil reservoir	USA	31.546	-102.9	135561758	219946	Restricted	
3300048637	*Microbiome	Permanent Draft	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Hydrothermal vent plume microbial communities from North Pacific Ocean - CTD-AT42-06-005-500m-0.65	DOE Joint Genome Institute (JGI)	3300048637	Environmental	Aquatic	Marine	Hydrothermal vents	Unclassified	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Metagenome Analysis	2021-10-22	metaspades v. 3.15.2	released based on JGI ITS	Yes	Yes	2021-12-20		randerson@carleton.edu	Rika Anderson	No	Illumina NovaSeq S4	Environmental	Aquatic	Hydrothermal vents	Marine	Unclassified		500		North Pacific Ocean	Hydrothermal vent plume	Pacific Ocean	8.41285	-104.4194	1023716071	1569144	Restricted	
3300006973	*Microbiome	Permanent Draft	Non-marine hypersaline water viral communities from  Mallorca, Spain, POOL 1-2-3 virus M8 Mallorca 14	Non-marine hypersaline water viral communities from Mallorca, Spain, 2014 - Pool_2_ virus M8	University of Alicante	3300006973	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	Unclassified	Non-marine hypersaline water viral communities from  Mallorca, Spain, POOL 1-2-3 virus M8 Mallorca 14	Metagenome Analysis	2015-12-29	Spades_3.6	released per JGI data release policy	No	Yes	2019-11-01		m.martinez@ua.es	Manuel Martinez Garcia	No	Illumina MiSeq	Environmental	Aquatic	Hypersaline	Non-marine Saline and Alkaline	Unclassified				Salinas de Campos (Mallorca)	hypersaline water		39.333	3.05	416628	1007		
3300048634	*Microbiome	Permanent Draft	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Hydrothermal vent plume microbial communities from North Pacific Ocean - CTD010A	DOE Joint Genome Institute (JGI)	3300048634	Environmental	Aquatic	Marine	Hydrothermal vents	Unclassified	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Metagenome Analysis	2021-10-22	metaspades v. 3.15.2	released based on JGI ITS	Yes	Yes	2021-12-20		randerson@carleton.edu	Rika Anderson	No	Illumina NovaSeq S4	Environmental	Aquatic	Hydrothermal vents	Marine	Unclassified		2476		North Pacific Ocean	Hydrothermal vent plume	Pacific Ocean	9.840142	-104.2918	683381073	1127926	Restricted	
3300022438	*Microbiome	Permanent Draft	Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia	Microbial mat bacterial and archaeal communities from Lake Baghdad, Rottnest Island (WA - Australia) - LBBM3 JM18	AGRF	3300022438	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	Microbial mats	Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia	Metagenome Analysis	2017-12-15	Unkown	released by JGI data releasing policy	Yes	Yes	2021-03-03		deirdre.gleeson@uwa.edu.au	Deirdre Gleeson	No	Illumina HiSeq 2500	Environmental	Aquatic	Hypersaline	Non-marine Saline and Alkaline	Microbial mats				Australia: Lake Baghdad, Rottnest Island, Western Australia	Microbial mat	Australia	-31.994794	115.523776	57703860	100856		
3300049904	*Microbiome	Permanent Draft	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Hydrothermal vent plume viral communities from North Pacific Ocean - CTD007 v	DOE Joint Genome Institute (JGI)	3300049904	Environmental	Aquatic	Marine	Hydrothermal vents	Unclassified	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Metagenome Analysis	2022-01-18	metaspades v. 3.13.0	released based on JGI ITS	Yes	Yes	2022-03-09		randerson@carleton.edu	Rika Anderson	No	Illumina NovaSeq S4	Environmental	Aquatic	Hydrothermal vents	Marine	Unclassified		2500		North Pacific Ocean	Hydrothermal vent plume	Pacific Ocean	9.838067	-104.2912	137144009	331013	Restricted	
3300049907	*Microbiome	Permanent Draft	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Hydrothermal vent plume viral communities from North Pacific Ocean - CTD-AT42-06-003-450m-0.03 v	DOE Joint Genome Institute (JGI)	3300049907	Environmental	Aquatic	Marine	Hydrothermal vents	Unclassified	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Metagenome Analysis	2022-01-18	metaspades v. 3.13.0	released based on JGI ITS	Yes	Yes	2022-03-09		randerson@carleton.edu	Rika Anderson	No	Illumina NovaSeq S4	Environmental	Aquatic	Hydrothermal vents	Marine	Unclassified		450		North Pacific Ocean	Hydrothermal vent plume	Pacific Ocean	8.39977	-104.9807	212865533	501464	Restricted	
3300015168	*Microbiome	Permanent Draft	Metagenomes of Arctic soils	Arctic soil microbial communities from a glacier forefield, Russell Glacier, Kangerlussuaq, Greenland (Sample G4A, Ice margin, adjacent to proglacial lake)	University of Bristol	3300015168	Environmental	Terrestrial	Soil	Glacier	Unclassified	Metagenomes of Arctic soils	Metagenome Analysis	2017-04-05	SPADES	released per Natalia: IMGSUPP-1553	Yes	Yes	2018-05-18		maisie.nash@bristol.ac.uk; ama@envs.au.dk	Maisie Nash; Alexandre Magno Barbosa Anesio	Yes	Illumina HiSeq	Environmental	Terrestrial	Glacier	Soil	Unclassified		0	405	Russell Glacier, Kangerlussuaq, Greenland	Glacier forefield soil	Greenland	67.156854	-50.082619	180851046	442442		
3300006945	*Microbiome	Permanent Draft	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	Hot spring sediment bacterial and archeal communities from British Columbia, Canada, to study Microbial Dark Matter (Phase II) - Dewar Creek DC16 2012 metaG	DOE Joint Genome Institute (JGI)	3300006945	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Sediment	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	Metagenome Analysis	2015-12-27	MEGAHIT v. MEGAHIT v1.0.3		Yes	Yes	2016-05-27		jkjarett@lbl.gov, jkjarett@lbl.gov; rstepanauskas@bigelow.org; pfdunfie@ucalgary.ca	Jessica Jarett, Jessica Jarett; Ramunas Stepanauskas; Peter Dunfield	No	Illumina HiSeq 2500-1TB	Environmental	Aquatic	Hot (42-90C)	Thermal springs	Sediment			1553	Canada: British Columbia	hot spring sediment	Canada	49.9543	-116.5155	338563328	495648	Unrestricted	
3300000859	*Microbiome	Permanent Draft	Hot springs sediment microbial communities from Tengchong, China, analyzing PIRE metagenomes	Hot spring sediment from Guminquan in Tengchong, China	Stanford University	3300000859	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Sediment	Hot springs sediment microbial communities from Tengchong, China, analyzing PIRE metagenomes	Metagenome Analysis	2013-02-08		released per JGI data release policy	Yes	Yes	2019-11-01		brian.hedlund@unlv.edu	Brian P. Hedlund, Brian Hedlund	No	Illumina	Environmental	Aquatic	Hot (42-90C)	Thermal springs	Sediment				Gumingquan streamer pool, Tengchong, China	Hot springs sediment	China	24.950891	98.436367	11388121	16893		
3300025384	*Microbiome	Permanent Draft	Saline, thermophilic phototrophic and chemotrophic mat microbial communities from various locations in USA and Mexico	Hypersaline microbial mat communities from Hot Lake, Washington, USA - Section #3 (SPAdes)	DOE Joint Genome Institute (JGI)	3300025384	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	Microbial mats	Saline, thermophilic phototrophic and chemotrophic mat microbial communities from various locations in USA and Mexico	Metagenome Analysis	2018-04-11	spades v. 3.11.1		Yes	Yes	2018-06-10		jim.fredrickson@pnnl.gov	Jim Fredrickson	No	Illumina HiSeq 2000, Illumina HiSeq 2500	Environmental	Aquatic	Hypersaline	Non-marine Saline and Alkaline	Microbial mats		.35		Hot Lake, Oroville, Washington, USA	Hypersaline mat	USA	48.973481	-119.476345	133680257	240521	Restricted	
3300033554	*Microbiome	Permanent Draft	Extreme environments viral communities from various locations	Glacier ice microbial communities from Ngari, Tibet, China - 37_GP2_109.2	DOE Joint Genome Institute (JGI)	3300033554	Environmental	Aquatic	Freshwater	Ice	Glacier	Extreme environments viral communities from various locations	Metagenome Analysis	2019-02-24	spades v. 3.13.0		Yes	Yes	2019-04-25		mbsulli@gmail.com	Matthew Sullivan	No	Illumina NovaSeq, Illumina HiSeq 2500-1TB	Environmental	Aquatic	Ice	Freshwater	Glacier		109		China: Ngari, Tibet	ice	China	35.2833	81.4833	365686799	785467	Restricted	
3300001768	*Microbiome	Permanent Draft	Hydrothermal vent plume microbial communities from the Cayman Rise, Cayman Islands	Hydrothermal vent plume microbial communities from the Mid Cayman Rise - Deep Background Supr62		3300001768	Environmental	Aquatic	Marine	Hydrothermal vents	Unclassified	Hydrothermal vent plume microbial communities from the Cayman Rise, Cayman Islands	Metagenome Analysis	2013-09-16	IDBA_UD k52-k92 step10	released by JGI data releasing policy	No	Yes	2020-03-03			Gregory Dick, Sunit Jain	No	Illumina HiSeq 2000	Environmental	Aquatic	Hydrothermal vents	Marine	Unclassified		4000		Deep Background, Mid Cayman Rise	Hydrothermal vent plume		18.35	-81.85	116341812	156159		
3300022312	*Microbiome	Permanent Draft	Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia	Microbial mat bacterial and archaeal communities from Garden Lake, Rottnest Island (WA - Australia) - GL1GP2 JM107	AGRF	3300022312	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	Microbial mats	Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia	Metagenome Analysis	2017-12-14	Unkown	released by JGI data releasing policy	Yes	Yes	2021-03-03		deirdre.gleeson@uwa.edu.au	Deirdre Gleeson	No	Illumina HiSeq 2500	Environmental	Aquatic	Hypersaline	Non-marine Saline and Alkaline	Microbial mats				Australia: Garden Lake, Rottnest Island, Western Australia	Microbial mat	Australia	-31.995604	115.536873	23671206	48262		
3300023307	*Microbiome	Permanent Draft	Hydrothermal Fe-rich Mat Reference Genomes	Hydrothermal Fe-rich mat microbial community from Urashima Vent Field, Mariana Arc, Pacific Ocean - 801-SC8	University of Delaware	3300023307	Environmental	Aquatic	Marine	Hydrothermal vents	Microbial mats	Hydrothermal Fe-rich Mat Reference Genomes	Metagenome Analysis	2018-02-23	metaSPAdes v. 3.10.0	Metagenomes associated with bioRxiv doi:10.1101/722066	Yes	Yes	2019-09-02		mcallis@uw.edu	Sean McAllister	No	Illumina HiSeq 2500	Environmental	Aquatic	Hydrothermal vents	Marine	Microbial mats		2927.7		International: Urashima Vent Field, Mariana Arc	Hydrothermal Fe-rich mat	International	12.92235	143.64928	20042752	40295		
3300045912	*Microbiome	Permanent Draft	Microbial mat bacterial communities from hot springs in Waikite Valley, Taupo Volcanic Zone, New Zealand	Microbial mat bacterial communities from hot spring in Waikite Valley, New Zealand - LMW_ETR_NZ_2018_Waikite_7_1	DOE Joint Genome Institute (JGI)	3300045912	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Microbial mats	Microbial mat bacterial communities from hot springs in Waikite Valley, Taupo Volcanic Zone, New Zealand	Metagenome Analysis	2021-06-09	metaspades v. 3.14.1	released based on JGI ITS	Yes	Yes	2021-08-07		LMWARD@post.harvard.edu	Lewis Ward	No	Illumina NovaSeq S4	Environmental	Aquatic	Hot (42-90C)	Thermal springs	Microbial mats			375	New Zealand: Waikite Valley, Waikato	microbial mat	New Zealand	-38.3276	176.3016	987381631	1235375	Unrestricted	
3300011197	*Microbiome	Permanent Draft	Metagenomes of Arctic soils	Arctic soil microbial communities form glacier forefield, Midre Lovenbreen, Svalbard, Norway (Sample 5 - S13.2.30.a - transect 2, age 5 years, surface depth)	University of Bristol	3300011197	Environmental	Terrestrial	Soil	Glacier	Unclassified	Metagenomes of Arctic soils	Metagenome Analysis	2016-11-12	SPADES	released per Natalia: IMGSUPP-1553	Yes	Yes	2018-05-18		maisie.nash@bristol.ac.uk; eaeloefadrosh@lbl.gov; ama@envs.au.dk	Maisie Nash; Emiley Eloe-Fadrosh; Alexandre Magno Barbosa Anesio	Yes	Illumina HiSeq	Environmental	Terrestrial	Glacier	Soil	Unclassified		0	52	Norway: Midre Lovenbreen, Svalbard	Glacier forefield soil	Norway	79.11361111	12.19583333	10899365	30686		
3300011194	*Microbiome	Permanent Draft	Metagenomes of Arctic soils	Arctic soil microbial communities form glacier forefield, Midre Lovenbreen, Svalbard, Norway (Sample 14 - S13.2.55.2.a - transect 2, repeat 2, age 50-113 years, surface depth).	University of Bristol	3300011194	Environmental	Terrestrial	Soil	Glacier	Unclassified	Metagenomes of Arctic soils	Metagenome Analysis	2016-11-12	SPADES	released per Natalia: IMGSUPP-1553	Yes	Yes	2018-05-18		maisie.nash@bristol.ac.uk; eaeloefadrosh@lbl.gov; ama@envs.au.dk	Maisie Nash; Emiley Eloe-Fadrosh; Alexandre Magno Barbosa Anesio	Yes	Illumina HiSeq	Environmental	Terrestrial	Glacier	Soil	Unclassified		0	40	Midre Lovenbreen Svalbard, Norway	Glacier forefield soil	Norway	78.90055556	12.07611111	8951989	16646		
