"V1","KO","n","Definition"
"KO:K20872","K20872",4,"NEK2; serine/threonine-protein kinase Nek2 [EC:2.7.11.1]"
"KO:K21249","K21249",4,"UVRAG; UV radiation resistance-associated gene protein"
"KO:K21456","K21456",4,"GSS; glutathione synthase [EC:6.3.2.3]"
"KO:K22337","K22337",4,"TSL1, TPS3; trehalose 6-phosphate synthase complex regulatory subunit"
"KO:K22377","K22377",4,"LTN1; E3 ubiquitin-protein ligase listerin [EC:2.3.2.27]"
"KO:K22403","K22403",4,"ZMIZ; zinc finger MIZ domain-containing protein"
"KO:K22530","K22530",4,"ATAD1; ATPase family AAA domain-containing protein 1 [EC:3.6.1.-]"
"KO:K22804","K22804",4,"SMC6; structural maintenance of chromosomes protein 6"
"KO:K23333","K23333",4,"RMND5; E3 ubiquitin-protein transferase RMND5 [EC:2.3.2.27]"
"KO:K23451","K23451",4,"LCB3; dihydrosphingosine 1-phosphate phosphatase [EC:3.1.3.-]"
"KO:K23553","K23553",4,"PGAP3, PER1; post-GPI attachment to proteins factor 3"
"KO:K23741","K23741",4,"MAN1B, MNS3; endoplasmic reticulum Man9GlcNAc2 1,2-alpha-mannosidase [EC:3.2.1.209]"
"KO:K23802","K23802",4,"LENG8, THP3; SAC3 family protein LENG8/THP3"
"KO:K24029","K24029",4,"OGFOD1, TPA1; prolyl 3-hydroxylase /prolyl 3,4-dihydroxylase [EC:1.14.11.-]"
"KO:K24139","K24139",4,"PILS, ECM3; auxin efflux carrier family protein"
"KO:K24279","K24279",4,"ERDH; putative ergosteryl-3beta-O-L-aspartate hydrolase"
"KO:K24394","K24394",4,"STU2; protein STU2"
"KO:K24512","K24512",4,"VWA8; von Willebrand factor A domain-containing protein 8"
"KO:K24752","K24752",4,"WDR70; WD repeat-containing protein 70"
"KO:K03195","K03195",3,"virB10, lvhB10; type IV secretion system protein VirB10"
"KO:K06199","K06199",3,"crcB, FEX; fluoride exporter"
"KO:K08100","K08100",3,"E1.3.3.5; bilirubin oxidase [EC:1.3.3.5]"
"KO:K10887","K10887",3,"DCLRE1C, ARTEMIS, SCIDA; DNA cross-link repair 1C protein [EC:3.1.-.-]"
"KO:K16554","K16554",3,"exoP, vpsO; polysaccharide biosynthesis transport protein [EC:2.7.10.3]"
"KO:K16639","K16639",3,"LACTB2; endoribonuclease LACTB2 [EC:3.1.27.-]"
"KO:K18042","K18042",3,"STYX; serine/threonine/tyrosine-interacting protein"
"KO:K19828","K19828",3,"MTG1; mitochondrial GTPase 1"
"KO:K19881","K19881",3,"BUD7, BCH1; Chs5-Arf1p-binding protein BUD7/BCH1"
"KO:K19984","K19984",3,"EXOC5, SEC10; exocyst complex component 5"
"KO:K20028","K20028",3,"ZDHHC2_15_20; palmitoyltransferase ZDHHC2/15/20 [EC:2.3.1.225]"
"KO:K20061","K20061",3,"ALY1_2, ART3_6; arrestin-related trafficking adapter 3/6"
"KO:K20178","K20178",3,"VPS8; vacuolar protein sorting-associated protein 8"
"KO:K20180","K20180",3,"VPS16; vacuolar protein sorting-associated protein 16"
"KO:K20237","K20237",3,"NUD1; protein NUD1"
"KO:K20241","K20241",3,"WDR44, RAB11BP; WD repeat-containing protein 44"
"KO:K20280","K20280",3,"TRAPPC5, TRS31; trafficking protein particle complex subunit 5"
"KO:K20289","K20289",3,"COG2; conserved oligomeric Golgi complex subunit 2"
"KO:K20303","K20303",3,"TRAPPC4, TRS23; trafficking protein particle complex subunit 4"
"KO:K20406","K20406",3,"NPRL3, NPR3; nitrogen permease regulator 3"
"KO:K20408","K20408",3,"WDR24, SEA2; SEA/GATOR complex protein SEA2/WDR24"
"KO:K20474","K20474",3,"RINT1, TIP20; RAD50-interacting protein 1"
"KO:K20520","K20520",3,"DBNL, ABP1; drebrin-like protein"
"KO:K20521","K20521",3,"BBC1, MTI1; myosin tail region-interacting protein MTI1"
"KO:K20643","K20643",3,"RGD1; Rho GTPase-activating protein RGD1"
"KO:K20649","K20649",3,"ARHGAP39; Rho GTPase-activating protein 39"
"KO:K20826","K20826",3,"RPAP1; RNA polymerase II-associated protein 1"
"KO:K20941","K20941",3,"graF; gamma-resorcylate decarboxylase [EC:4.1.1.103]"
"KO:K21157","K21157",3,"SAK1; SNF1-activating kinase 1 [EC:2.7.11.1]"
"KO:K21449","K21449",3,"ata, sadA, emaA; trimeric autotransporter adhesin"
"KO:K21632","K21632",3,"WOR2; white-opaque regulator 2"
"KO:K21767","K21767",3,"TBCD; tubulin-specific chaperone D"
"KO:K21768","K21768",3,"TBCE; tubulin-specific chaperone E"
"KO:K21845","K21845",3,"YPP1; cargo-transport protein YPP1"
"KO:K21991","K21991",3,"UNC45; protein unc-45"
"KO:K21996","K21996",3,"SNX41_42; sorting nexin-41/42"
"KO:K22074","K22074",3,"NFU1, HIRIP5; NFU1 iron-sulfur cluster scaffold homolog, mitochondrial"
"KO:K22134","K22134",3,"GLIA; MFS transporter, DHA2 family, glioxin efflux transporter"
"KO:K22277","K22277",3,"EXGB; glucan endo-1,6-beta-glucosidase [EC:3.2.1.75]"
"KO:K22438","K22438",3,"TMT1; trans-aconitate 3-methyltransferase [EC:2.1.1.145]"
"KO:K22611","K22611",3,"SART3, TIP110; squamous cell carcinoma antigen recognized by T-cells 3"
"KO:K22685","K22685",3,"WSS1; DNA-dependent metalloprotease WSS1 [EC:3.4.24.-]"
"KO:K22723","K22723",3,"AUR1; inositol phosphorylceramide synthase catalytic subunit [EC:2.7.1.227]"
"KO:K22825","K22825",3,"NSMCE4, NSE4; non-structural maintenance of chromosomes element 4"
"KO:K22832","K22832",3,"GAS1; 1,3-beta-glucanosyltransferase GAS1 [EC:2.4.1.-]"
"KO:K22909","K22909",3,"ZC3H13; zinc finger CCCH domain-containing protein 13"
"KO:K23256","K23256",3,"curA; NADPH-dependent curcumin reductase [EC:1.3.1.-]"
"KO:K23338","K23338",3,"GID8; glucose-induced degradation protein 8"
"KO:K23358","K23358",3,"TAF1; transcription initiation factor TFIID subunit 1, fungi type [EC:2.3.1.48]"
"KO:K23562","K23562",3,"EMC1; ER membrane protein complex subunit 1"
"KO:K23564","K23564",3,"EMC3, TMEM111; ER membrane protein complex subunit 3"
"KO:K23612","K23612",3,"WASL; neural Wiskott-Aldrich syndrome protein"
"KO:K23678","K23678",3,"PQLC2, SLC66A1, LAAT1; solute carrier family 66 (lysosomal lysine-arginine transporter), member 1"
"KO:K23785","K23785",3,"RCK2, CLK1; serine/threonine-protein kinase RCK2 [EC:2.7.11.1]"
"KO:K23801","K23801",3,"PCID2, THP1; nuclear mRNA export protein PCID2/THP1"
"KO:K24127","K24127",3,"MAGE; melanoma-associated antigen"
"KO:K24194","K24194",3,"BOR; boron transporter"
"KO:K24278","K24278",3,"ERDS; ergosteryl-3beta-O-L-aspartate synthase [EC:6.1.1.12 2.-.-.-]"
"KO:K24729","K24729",3,"CFAP57, WDR65; cilia- and flagella-associated protein 57"
"KO:K24736","K24736",3,"WDR1, AIP1; WD repeat-containing protein 1 (actin-interacting protein 1)"
"KO:K24737","K24737",3,"WDR6; WD repeat-containing protein 6"
"KO:K24755","K24755",3,"WDR76, CMR1; WD repeat-containing protein 76"
"KO:K05888","K05888",2,"K05888; L-gulono-1,4-lactone dehydrogenase [EC:1.1.2.-]"
"KO:K06047","K06047",2,"TTL; tubulin---tyrosine ligase [EC:6.3.2.25]"
"KO:K07232","K07232",2,"CHAC, chaC; glutathione-specific gamma-glutamylcyclotransferase [EC:4.3.2.7]"
"KO:K07484","K07484",2,"K07484; transposase"
"KO:K10968","K10968",2,"MNT2; alpha 1,3-mannosyltransferase [EC:2.4.1.-]"
"KO:K12404","K12404",2,"GGA; ADP-ribosylation factor-binding protein GGA"
"KO:K12948","K12948",2,"SPCS3, SPC3; signal peptidase complex subunit 3 [EC:3.4.-.-]"
"KO:K13955","K13955",2,"yogA; zinc-binding alcohol dehydrogenase/oxidoreductase"
"KO:K14273","K14273",2,"xdh; D-xylose 1-dehydrogenase (NADP+, D-xylono-1,5-lactone-forming) [EC:1.1.1.179]"
"KO:K16652","K16652",2,"dprE2; decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase [EC:1.1.1.333]"
"KO:K17286","K17286",2,"STOM; stomatin"
"KO:K19800","K19800",2,"SCH9; serine/threonine protein kinase SCH9 [EC:2.7.11.1]"
"KO:K19829","K19829",2,"GEP3, MTG3; genetic interactor of prohibitins 3, mitochondrial"
"KO:K19833","K19833",2,"CLA4; serine/threonine-protein kinase CLA4 [EC:2.7.11.1]"
"KO:K19838","K19838",2,"SST2; GTPase-activating protein SST2"
"KO:K19839","K19839",2,"RGA1_2; Rho-type GTPase-activating protein 1/2"
"KO:K19849","K19849",2,"MSB2; signaling mucin MSB2"
"KO:K19850","K19850",2,"OPY2; protein OPY2"
"KO:K19953","K19953",2,"GRTP1, TBC1D6, MSB3_4; TBC1 domain family member 6"
"KO:K19996","K19996",2,"SFH5; phosphatidylinositol transfer protein SFH5"
"KO:K20062","K20062",2,"ART4_5_7; arrestin-related trafficking adapter 4/5/7"
"KO:K20102","K20102",2,"YTHDF; YTH domain-containing family protein"
"KO:K20120","K20120",2,"BIN3; bridging integrator 3"
"KO:K20168","K20168",2,"TBC1D15; TBC1 domain family member 15"
"KO:K20286","K20286",2,"TMF1; TATA element modulatory factor"
"KO:K20288","K20288",2,"COG1; conserved oligomeric Golgi complex subunit 1"
"KO:K20302","K20302",2,"TRAPPC3, BET3; trafficking protein particle complex subunit 3"
"KO:K20305","K20305",2,"TRAPPC8, TRS85; trafficking protein particle complex subunit 8"
"KO:K20310","K20310",2,"TRAPPC13; trafficking protein particle complex subunit 13"
"KO:K20346","K20346",2,"TMED4_9_11; p24 family protein alpha"
"KO:K20359","K20359",2,"RABAC1, PRAF1; PRA1 family protein 1"
"KO:K20362","K20362",2,"YIF1; protein transport protein YIF1"
"KO:K20457","K20457",2,"DHFS; dihydrofolate synthase [EC:6.3.2.12]"
"KO:K20463","K20463",2,"OSBPL3_6_7, ORP3_6_7; oxysterol-binding protein-related protein 3/6/7"
"KO:K20465","K20465",2,"OSBPL9_10_11, ORP9_10_11; oxysterol-binding protein-related protein 9/10/11"
"KO:K20471","K20471",2,"COPD, ARCN1, RET2; coatomer subunit delta"
"KO:K20523","K20523",2,"SH3YL1; SH3 domain-containing YSC84-like protein 1"
"KO:K20715","K20715",2,"PHOT; phototropin [EC:2.7.11.1]"
"KO:K21292","K21292",2,"CYP503; ent-kaurene oxidase [EC:1.14.14.86]"
"KO:K21302","K21302",2,"sapM; phosphatidylinositol-3-phosphatase [EC:3.1.3.64]"
"KO:K21455","K21455",2,"CON7; transcription factor CON7"
"KO:K21624","K21624",2,"c3lhypd; cis-L-3-hydroxyproline dehydratase [EC:4.2.1.171]"
"KO:K21631","K21631",2,"GTI1, PAC2, WOR1; Gti1/Pac2 family transcription factor"
"KO:K21813","K21813",2,"ENDOV; endonuclease V [EC:3.1.26.-]"
"KO:K21890","K21890",2,"GHITM, DERP2, TMBIM5; growth hormone-inducible transmembrane protein"
"KO:K22008","K22008",2,"PSK1; serine/threonine-protein kinase Psk1 [EC:2.7.11.1]"
"KO:K22072","K22072",2,"ISCA2; iron-sulfur cluster assembly 2"
"KO:K22124","K22124",2,"GLIT, ACLT; gliotoxin/aspirochlorine biosynthesis thioredoxin reductase [EC:1.8.1.-]"
"KO:K22315","K22315",2,"SHB17; sedoheptulose-bisphosphatase [EC:3.1.3.37]"
"KO:K22381","K22381",2,"ZNF598; E3 ubiquitin-protein ligase ZNF598 [EC:2.3.2.27]"
"KO:K22494","K22494",2,"K22494; CFEM-containing surface protein"
"KO:K22539","K22539",2,"PLY; pectate lyase [EC:4.2.2.2]"
"KO:K22570","K22570",2,"AF480; 5-dehydro-6-demethoxyfumagillol dioxygenase [EC:1.14.11.82]"
"KO:K22696","K22696",2,"EEF2KMT; protein-lysine N-methyltransferase EEF2KMT [EC:2.1.1.-]"
"KO:K22762","K22762",2,"DESI1, PPPDE2; desumoylating isopeptidase 1 [EC:3.4.-.-]"
"KO:K22766","K22766",2,"FIGNL1; fidgetin-like protein 1 [EC:5.6.2.-]"
"KO:K22857","K22857",2,"EEF1AKMT4; EEF1A lysine methyltransferase 4 [EC:2.1.1.-]"
"KO:K22889","K22889",2,"AYT1, TRI101; trichothecene 3-O-acetyltransferase [EC:2.3.1.-]"
"KO:K22991","K22991",2,"WDR45, WIPI4, WIPI3; WD repeat-containing protein 45"
"KO:K23039","K23039",2,"NAB2; nuclear polyadenylated RNA-binding protein NAB2"
"KO:K23093","K23093",2,"USB1; U6 snRNA phosphodiesterase [EC:3.1.4.-]"
"KO:K23114","K23114",2,"ARMT1; damage-control phosphatase, subfamily III [EC:3.1.3.-]"
"KO:K23146","K23146",2,"HPD1; 3-hydroxyisobutyrate/3-hydroxypropionate dehydrogenase [EC:1.1.1.31 1.1.1.59]"
"KO:K23222","K23222",2,"HARBI1; nuclease HARBI1 [EC:3.1.-.-]"
"KO:K23234","K23234",2,"ALDH8A1; aminomuconate-semialdehyde dehydrogenase [EC:1.2.1.32]"
"KO:K23314","K23314",2,"WRAP53, TCAB1; telomerase Cajal body protein 1"
"KO:K23362","K23362",2,"MPPE1, PGAP5; ethanolamine phosphate phosphodiesterase [EC:3.1.-.-]"
"KO:K23469","K23469",2,"CLB2; G2/mitotic-specific cyclin 2"
"KO:K23490","K23490",2,"CYB5; cytochrome b5"
"KO:K23518","K23518",2,"MACROD, ymdB; O-acetyl-ADP-ribose deacetylase [EC:3.1.1.106]"
"KO:K23544","K23544",2,"SERINC1; serine incorporator 1"
"KO:K23679","K23679",2,"PQLC1, SLC66A2; solute carrier family 66, member 2"
"KO:K23700","K23700",2,"SET2; [histone H3]-lysine36 N-trimethyltransferase [EC:2.1.1.359]"
"KO:K23719","K23719",2,"SAC3; nuclear mRNA export protein SAC3"
"KO:K23729","K23729",2,"CCDC39; coiled-coil domain-containing protein 39"
"KO:K23735","K23735",2,"LIPT2, LIP2; lipoyl(octanoyl) transferase 2 [EC:2.3.1.181]"
"KO:K23787","K23787",2,"DMA1_2; E3 ubiquitin-protein ligase DMA1/2 [EC:2.3.2.27]"
"KO:K23856","K23856",2,"GPX; peroxiredoxin [EC:1.11.1.24]"
"KO:K23965","K23965",2,"RSPH3; radial spoke head protein 3"
"KO:K23978","K23978",2,"IAH1; isoamyl acetate esterase [EC:3.1.1.112]"
"KO:K24121","K24121",2,"MPO1; 2-hydroxy fatty acid dioxygenase [EC:1.14.18.12]"
"KO:K24175","K24175",2,"MFSD5; MFS transporter, MFS domain-containing protein family, molybdate-anion transporter"
"KO:K24195","K24195",2,"XPR1, PHO1; xenotropic and polytropic retrovirus receptor 1"
"KO:K24730","K24730",2,"CIAO1, CIA1; cytosolic iron-sulfur protein assembly protein CIAO1"
"KO:K24750","K24750",2,"WDR55, JIP5; WD repeat-containing protein 55"
"KO:K24765","K24765",2,"CREC; catabolite repression protein CreC"
"KO:K00024","K00024",1,"mdh; malate dehydrogenase [EC:1.1.1.37]"
"KO:K00062","K00062",1,"ARA2; D-arabinose 1-dehydrogenase [EC:1.1.1.116]"
"KO:K00076","K00076",1,"hdhA; 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]"
"KO:K00410","K00410",1,"fbcH; ubiquinol-cytochrome c reductase cytochrome b/c1 subunit"
"KO:K00682","K00682",1,"GGCT; gamma-glutamylcyclotransferase [EC:4.3.2.9]"
"KO:K01098","K01098",1,"CET1; polynucleotide 5'-triphosphatase [EC:3.6.1.74]"
"KO:K01562","K01562",1,"DIO1; type I thyroxine 5'-deiodinase [EC:1.21.99.4]"
"KO:K01713","K01713",1,"pheC; cyclohexadienyl dehydratase [EC:4.2.1.51 4.2.1.91]"
"KO:K02495","K02495",1,"hemN, hemZ; oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]"
"KO:K03210","K03210",1,"yajC; preprotein translocase subunit YajC"
"KO:K03365","K03365",1,"FCY1; cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]"
"KO:K03811","K03811",1,"pnuC; nicotinamide mononucleotide transporter"
"KO:K04096","K04096",1,"smf; DNA processing protein"
"KO:K06168","K06168",1,"miaB; tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]"
"KO:K07137","K07137",1,"K07137; uncharacterized protein"
"KO:K07583","K07583",1,"PUS10; tRNA pseudouridine synthase 10 [EC:5.4.99.25]"
"KO:K07795","K07795",1,"tctC; putative tricarboxylic transport membrane protein"
"KO:K07886","K07886",1,"RAB27B; Ras-related protein Rab-27B"
"KO:K07931","K07931",1,"RABL2; Rab-like protein 2"
"KO:K08022","K08022",1,"ALOX15B; arachidonate 15-lipoxygenase (second type) / 8-lipoxygenase (S-type) [EC:1.13.11.33 1.13.11.-]"
"KO:K08155","K08155",1,"SLC18A1_2, VMAT; MFS transporter, DHA1 family, solute carrier family 18 (vesicular amine transporter), member 1/2"
"KO:K08582","K08582",1,"CAPN15; calpain-15 [EC:3.4.22.-]"
"KO:K09008","K09008",1,"NDUFAF3; NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3"
"KO:K09562","K09562",1,"HSPBP1, FES1; hsp70-interacting protein"
"KO:K09807","K09807",1,"K09807; uncharacterized protein"
"KO:K09834","K09834",1,"VTE1, SXD1; tocopherol cyclase [EC:5.5.1.24]"
"KO:K11109","K11109",1,"POT1; protection of telomeres protein 1"
"KO:K11323","K11323",1,"JMJD6; histone arginine demethylase JMJD6 [EC:1.14.11.-]"
