"sampleID"	"taxon_oid"	"Domain"	"Sequencing.Status"	"Study.Name"	"Genome.Name...Sample.Name"	"Sequencing.Center"	"IMG.Genome.ID"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"GOLD.Analysis.Project.Type"	"Add.Date"	"Assembly.Method"	"Comments"	"Has.Coverage"	"Is.Public"	"Release.Date"	"User.Access"	"Contact.Email"	"Contact.Name"	"Is.Published"	"Sequencing.Method"	"Ecosystem"	"Ecosystem.Category"	"Ecosystem.Subtype"	"Ecosystem.Type"	"Specific.Ecosystem"	"Altitude.In.Meters"	"Depth.In.Meters"	"Elevation.In.Meters"	"Geographic.Location"	"Habitat"	"Isolation.Country"	"Latitude"	"Longitude"	"Genome.Size.....assembled"	"Gene.Count.....assembled"	"JGI.Data.Utilization.Status"	"X"	"Use"	"Environment"
"X3300028816"	3300028816	"*Microbiome"	"Permanent Draft"	"Microbial communities from Yellowstone National Park hot springs 2017"	"Hot spring sediment microbial communities from Mouthful Geyser Outflow 2, Yellowstone National Park, USA - 170629F"	"University of Minnesota"	3300028816	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Sediment"	"Microbial communities from Yellowstone National Park hot springs 2017"	"Metagenome Analysis"	"2018-08-10"	"SPAdes v. 3.11.0"	"released by JGI data releasing policy"	"Yes"	"Yes"	"2022-03-04"	NA	"trinityh@umn.edu"	"Trinity Hamilton"	"No"	"Illumina HiSeq 2500"	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Sediment"	NA	""	"2237"	"USA: Yellowstone National Park, WY"	"Hot spring sediment"	"USA"	"44.5325"	"-110.7978"	104661654	234717	""	NA	"Use"	"Hot spring"
"X3300006973"	3300006973	"*Microbiome"	"Permanent Draft"	"Non-marine hypersaline water viral communities from  Mallorca, Spain, POOL 1-2-3 virus M8 Mallorca 14"	"Non-marine hypersaline water viral communities from Mallorca, Spain, 2014 - Pool_2_ virus M8"	"University of Alicante"	3300006973	"Environmental"	"Aquatic"	"Non-marine Saline and Alkaline"	"Hypersaline"	"Unclassified"	"Non-marine hypersaline water viral communities from  Mallorca, Spain, POOL 1-2-3 virus M8 Mallorca 14"	"Metagenome Analysis"	"2015-12-29"	"Spades_3.6"	"released per JGI data release policy"	"No"	"Yes"	"2019-11-01"	NA	"m.martinez@ua.es"	"Manuel Martinez Garcia"	"No"	"Illumina MiSeq"	"Environmental"	"Aquatic"	"Hypersaline"	"Non-marine Saline and Alkaline"	"Unclassified"	NA	""	""	"Salinas de Campos (Mallorca)"	"hypersaline water"	""	"39.333"	"3.05"	416628	1007	""	NA	"Use"	"Hypersaline"
"X3300022438"	3300022438	"*Microbiome"	"Permanent Draft"	"Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia"	"Microbial mat bacterial and archaeal communities from Lake Baghdad, Rottnest Island (WA - Australia) - LBBM3 JM18"	"AGRF"	3300022438	"Environmental"	"Aquatic"	"Non-marine Saline and Alkaline"	"Hypersaline"	"Microbial mats"	"Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia"	"Metagenome Analysis"	"2017-12-15"	"Unkown"	"released by JGI data releasing policy"	"Yes"	"Yes"	"2021-03-03"	NA	"deirdre.gleeson@uwa.edu.au"	"Deirdre Gleeson"	"No"	"Illumina HiSeq 2500"	"Environmental"	"Aquatic"	"Hypersaline"	"Non-marine Saline and Alkaline"	"Microbial mats"	NA	""	""	"Australia: Lake Baghdad, Rottnest Island, Western Australia"	"Microbial mat"	"Australia"	"-31.994794"	"115.523776"	57703860	100856	""	NA	"Use"	"Hypersaline"
"X3300015168"	3300015168	"*Microbiome"	"Permanent Draft"	"Metagenomes of Arctic soils"	"Arctic soil microbial communities from a glacier forefield, Russell Glacier, Kangerlussuaq, Greenland (Sample G4A, Ice margin, adjacent to proglacial lake)"	"University of Bristol"	3300015168	"Environmental"	"Terrestrial"	"Soil"	"Glacier"	"Unclassified"	"Metagenomes of Arctic soils"	"Metagenome Analysis"	"2017-04-05"	"SPADES"	"released per Natalia: IMGSUPP-1553"	"Yes"	"Yes"	"2018-05-18"	NA	"maisie.nash@bristol.ac.uk; ama@envs.au.dk"	"Maisie Nash; Alexandre Magno Barbosa Anesio"	"Yes"	"Illumina HiSeq"	"Environmental"	"Terrestrial"	"Glacier"	"Soil"	"Unclassified"	NA	"0"	"405"	"Russell Glacier, Kangerlussuaq, Greenland"	"Glacier forefield soil"	"Greenland"	"67.156854"	"-50.082619"	180851046	442442	""	NA	"Use"	"Glacial forefield"
"X3300006945"	3300006945	"*Microbiome"	"Permanent Draft"	"Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)"	"Hot spring sediment bacterial and archeal communities from British Columbia, Canada, to study Microbial Dark Matter (Phase II) - Dewar Creek DC16 2012 metaG"	"DOE Joint Genome Institute (JGI)"	3300006945	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Sediment"	"Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)"	"Metagenome Analysis"	"2015-12-27"	"MEGAHIT v. MEGAHIT v1.0.3"	""	"Yes"	"Yes"	"2016-05-27"	NA	"jkjarett@lbl.gov, jkjarett@lbl.gov; rstepanauskas@bigelow.org; pfdunfie@ucalgary.ca"	"Jessica Jarett, Jessica Jarett; Ramunas Stepanauskas; Peter Dunfield"	"No"	"Illumina HiSeq 2500-1TB"	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Sediment"	NA	""	"1553"	"Canada: British Columbia"	"hot spring sediment"	"Canada"	"49.9543"	"-116.5155"	338563328	495648	"Unrestricted"	NA	"Use"	"Hot spring"
"X3300000859"	3300000859	"*Microbiome"	"Permanent Draft"	"Hot springs sediment microbial communities from Tengchong, China, analyzing PIRE metagenomes"	"Hot spring sediment from Guminquan in Tengchong, China"	"Stanford University"	3300000859	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Sediment"	"Hot springs sediment microbial communities from Tengchong, China, analyzing PIRE metagenomes"	"Metagenome Analysis"	"2013-02-08"	""	"released per JGI data release policy"	"Yes"	"Yes"	"2019-11-01"	NA	"brian.hedlund@unlv.edu"	"Brian P. Hedlund, Brian Hedlund"	"No"	"Illumina"	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Sediment"	NA	""	""	"Gumingquan streamer pool, Tengchong, China"	"Hot springs sediment"	"China"	"24.950891"	"98.436367"	11388121	16893	""	NA	"Use"	"Hot spring"
"X3300001768"	3300001768	"*Microbiome"	"Permanent Draft"	"Hydrothermal vent plume microbial communities from the Cayman Rise, Cayman Islands"	"Hydrothermal vent plume microbial communities from the Mid Cayman Rise - Deep Background Supr62"	""	3300001768	"Environmental"	"Aquatic"	"Marine"	"Hydrothermal vents"	"Unclassified"	"Hydrothermal vent plume microbial communities from the Cayman Rise, Cayman Islands"	"Metagenome Analysis"	"2013-09-16"	"IDBA_UD k52-k92 step10"	"released by JGI data releasing policy"	"No"	"Yes"	"2020-03-03"	NA	""	"Gregory Dick, Sunit Jain"	"No"	"Illumina HiSeq 2000"	"Environmental"	"Aquatic"	"Hydrothermal vents"	"Marine"	"Unclassified"	NA	"4000"	""	"Deep Background, Mid Cayman Rise"	"Hydrothermal vent plume"	""	"18.35"	"-81.85"	116341812	156159	""	NA	"Use"	"Hydrothermal vent"
"X3300022312"	3300022312	"*Microbiome"	"Permanent Draft"	"Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia"	"Microbial mat bacterial and archaeal communities from Garden Lake, Rottnest Island (WA - Australia) - GL1GP2 JM107"	"AGRF"	3300022312	"Environmental"	"Aquatic"	"Non-marine Saline and Alkaline"	"Hypersaline"	"Microbial mats"	"Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia"	"Metagenome Analysis"	"2017-12-14"	"Unkown"	"released by JGI data releasing policy"	"Yes"	"Yes"	"2021-03-03"	NA	"deirdre.gleeson@uwa.edu.au"	"Deirdre Gleeson"	"No"	"Illumina HiSeq 2500"	"Environmental"	"Aquatic"	"Hypersaline"	"Non-marine Saline and Alkaline"	"Microbial mats"	NA	""	""	"Australia: Garden Lake, Rottnest Island, Western Australia"	"Microbial mat"	"Australia"	"-31.995604"	"115.536873"	23671206	48262	""	NA	"Use"	"Hypersaline"
"X3300023307"	3300023307	"*Microbiome"	"Permanent Draft"	"Hydrothermal Fe-rich Mat Reference Genomes"	"Hydrothermal Fe-rich mat microbial community from Urashima Vent Field, Mariana Arc, Pacific Ocean - 801-SC8"	"University of Delaware"	3300023307	"Environmental"	"Aquatic"	"Marine"	"Hydrothermal vents"	"Microbial mats"	"Hydrothermal Fe-rich Mat Reference Genomes"	"Metagenome Analysis"	"2018-02-23"	"metaSPAdes v. 3.10.0"	"Metagenomes associated with bioRxiv doi:10.1101/722066"	"Yes"	"Yes"	"2019-09-02"	NA	"mcallis@uw.edu"	"Sean McAllister"	"No"	"Illumina HiSeq 2500"	"Environmental"	"Aquatic"	"Hydrothermal vents"	"Marine"	"Microbial mats"	NA	"2927.7"	""	"International: Urashima Vent Field, Mariana Arc"	"Hydrothermal Fe-rich mat"	"International"	"12.92235"	"143.64928"	20042752	40295	""	NA	"Use"	"Hydrothermal vent"
"X3300045912"	3300045912	"*Microbiome"	"Permanent Draft"	"Microbial mat bacterial communities from hot springs in Waikite Valley, Taupo Volcanic Zone, New Zealand"	"Microbial mat bacterial communities from hot spring in Waikite Valley, New Zealand - LMW_ETR_NZ_2018_Waikite_7_1"	"DOE Joint Genome Institute (JGI)"	3300045912	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Microbial mats"	"Microbial mat bacterial communities from hot springs in Waikite Valley, Taupo Volcanic Zone, New Zealand"	"Metagenome Analysis"	"2021-06-09"	"metaspades v. 3.14.1"	"released based on JGI ITS"	"Yes"	"Yes"	"2021-08-07"	NA	"LMWARD@post.harvard.edu"	"Lewis Ward"	"No"	"Illumina NovaSeq S4"	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Microbial mats"	NA	""	"375"	"New Zealand: Waikite Valley, Waikato"	"microbial mat"	"New Zealand"	"-38.3276"	"176.3016"	987381631	1235375	"Unrestricted"	NA	"Use"	"Hot spring"
"X3300011197"	3300011197	"*Microbiome"	"Permanent Draft"	"Metagenomes of Arctic soils"	"Arctic soil microbial communities form glacier forefield, Midre Lovenbreen, Svalbard, Norway (Sample 5 - S13.2.30.a - transect 2, age 5 years, surface depth)"	"University of Bristol"	3300011197	"Environmental"	"Terrestrial"	"Soil"	"Glacier"	"Unclassified"	"Metagenomes of Arctic soils"	"Metagenome Analysis"	"2016-11-12"	"SPADES"	"released per Natalia: IMGSUPP-1553"	"Yes"	"Yes"	"2018-05-18"	NA	"maisie.nash@bristol.ac.uk; eaeloefadrosh@lbl.gov; ama@envs.au.dk"	"Maisie Nash; Emiley Eloe-Fadrosh; Alexandre Magno Barbosa Anesio"	"Yes"	"Illumina HiSeq"	"Environmental"	"Terrestrial"	"Glacier"	"Soil"	"Unclassified"	NA	"0"	"52"	"Norway: Midre Lovenbreen, Svalbard"	"Glacier forefield soil"	"Norway"	"79.11361111"	"12.19583333"	10899365	30686	""	NA	"Use"	"Glacial forefield"
"X3300011194"	3300011194	"*Microbiome"	"Permanent Draft"	"Metagenomes of Arctic soils"	"Arctic soil microbial communities form glacier forefield, Midre Lovenbreen, Svalbard, Norway (Sample 14 - S13.2.55.2.a - transect 2, repeat 2, age 50-113 years, surface depth)."	"University of Bristol"	3300011194	"Environmental"	"Terrestrial"	"Soil"	"Glacier"	"Unclassified"	"Metagenomes of Arctic soils"	"Metagenome Analysis"	"2016-11-12"	"SPADES"	"released per Natalia: IMGSUPP-1553"	"Yes"	"Yes"	"2018-05-18"	NA	"maisie.nash@bristol.ac.uk; eaeloefadrosh@lbl.gov; ama@envs.au.dk"	"Maisie Nash; Emiley Eloe-Fadrosh; Alexandre Magno Barbosa Anesio"	"Yes"	"Illumina HiSeq"	"Environmental"	"Terrestrial"	"Glacier"	"Soil"	"Unclassified"	NA	"0"	"40"	"Midre Lovenbreen Svalbard, Norway"	"Glacier forefield soil"	"Norway"	"78.90055556"	"12.07611111"	8951989	16646	""	NA	"Use"	"Glacial forefield"
"X3300001550"	3300001550	"*Microbiome"	"Permanent Draft"	"Hydrothermal vent plume microbial communities from Lau Basin, Pacific Ocean"	"Hydrothermal vent plume microbial communities from Lau Basin, Pacific Ocean - Lau MG2c_2"	""	3300001550	"Environmental"	"Aquatic"	"Marine"	"Hydrothermal vents"	"Unclassified"	"Hydrothermal vent plume microbial communities from Lau Basin, Pacific Ocean"	"Metagenome Analysis"	"2013-07-09"	"Velvet/1.2.07, MetaVelvet/1.2.02, Minimus2"	"released by JGI data releasing policy"	"No"	"Yes"	"2020-03-03"	NA	"menli@umich.edu"	"Meng Li"	"No"	"Illumina HiSeq 2000"	"Environmental"	"Aquatic"	"Hydrothermal vents"	"Marine"	"Unclassified"	NA	""	""	"Lau Basin, Pacific Ocean"	"Hydrothermal vent plume"	"Pacific Ocean"	"20.32"	"176.8"	1853656	1619	""	NA	"Use"	"Hydrothermal vent"
"X3300045074"	3300045074	"*Microbiome"	"Permanent Draft"	"Hot spring water microbial communities from thermal springs from various locations in Georgia"	"Hot spring water microbial communities from a thermal spring in Samtredia, Georgia - Samtredia 1"	"G. Eliava Institute of Bacteriophages, Microbiology and Virology"	3300045074	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Unclassified"	"Hot spring water microbial communities from thermal springs from various locations in Georgia"	"Metagenome Analysis"	"2021-04-28"	"Custom JGI assembly."	""	"Yes"	"Yes"	""	NA	"nageli2014@agruni.edu.ge"	"Natia Geliashvili"	"No"	"Illumina HiSeq 2500"	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Unclassified"	NA	""	""	"Georgia: Samtredia"	"Hot spring water"	"Georgia"	"42.170011"	"42.329011"	55706607	88968	""	NA	"Use"	"Hot spring"
"X3300003755"	3300003755	"*Microbiome"	"Permanent Draft"	"Cyanobacterial communities from the Joint Genome Institute, California, USA"	"Cyanobacterial communities from the Joint Genome Institute, California, USA - FECB-27"	"DOE Joint Genome Institute (JGI)"	3300003755	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Microbial mats"	"Cyanobacterial communities from the Joint Genome Institute, California, USA"	"Metagenome Analysis"	"2014-12-18"	"SOAPdenovo,newbler,minimus2 v. Version 1.05: testing... 2010,(v2.8 (20120726_1306)),AMOS/3.1.0_1"	""	"Yes"	"Yes"	"2015-02-16"	NA	"mhess@lbl.gov, mhess@ucdavis.edu"	"Matthias Hess"	"No"	"Illumina HiSeq 2000, Illumina HiSeq 2500"	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Microbial mats"	NA	""	""	"USA: California"	"Cyanobacterial"	"USA"	"37.9313884"	"-122.0239394"	104231309	146890	"Unrestricted"	NA	"Use"	"Hot spring"
"X3300022315"	3300022315	"*Microbiome"	"Permanent Draft"	"Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia"	"Microbial mat bacterial and archaeal communities from Herschel Lake, Rottnest Island (WA - Australia) - HL1BM2 JM2"	"AGRF"	3300022315	"Environmental"	"Aquatic"	"Non-marine Saline and Alkaline"	"Hypersaline"	"Microbial mats"	"Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia"	"Metagenome Analysis"	"2017-12-14"	"Unkown"	"released by JGI data releasing policy"	"Yes"	"Yes"	"2021-03-03"	NA	"deirdre.gleeson@uwa.edu.au"	"Deirdre Gleeson"	"No"	"Illumina HiSeq 2500"	"Environmental"	"Aquatic"	"Hypersaline"	"Non-marine Saline and Alkaline"	"Microbial mats"	NA	""	""	"Australia: Herschel Lake, Rottnest Island, Western Australia"	"Microbial mat"	"Australia"	"-31.996565"	"115.531482"	38401161	72043	""	NA	"Use"	"Hypersaline"
"X3300009485"	3300009485	"*Microbiome"	"Permanent Draft"	"Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean"	"Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean - FS877 no min length"	"Marine Biological Laboratory"	3300009485	"Environmental"	"Aquatic"	"Marine"	"Hydrothermal vents"	"Diffuse flow"	"Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean"	"Metagenome Analysis"	"2016-06-09"	"Ray 2.3.1"	"released per JGI data release policy"	"No"	"Yes"	"2019-11-01"	NA	"randerson@mbl.edu, randerson@carleton.edu"	"Rika Anderson"	"No"	"Illumina HiSeq"	"Environmental"	"Aquatic"	"Hydrothermal vents"	"Marine"	"Diffuse flow"	NA	"2304"	""	"Mid Cayman Rise"	"diffuse flow hydrothermal vent"	""	"18.377"	"-81.798"	194341827	887044	""	NA	"Use"	"Hydrothermal vent"
