taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Genome Size   * assembled	Gene Count   * assembled	Scaffold Count   * assembled	
3300034009	*Microbiome	Permanent Draft	Soil and biocrust microbial communities from Mojave Desert, California, United States	Sub-biocrust soil microbial communities from Mojave Desert, California, United States - 40SMS	DOE Joint Genome Institute (JGI)	3300034009	241891197	541618	422302	
3300007019	*Microbiome	Permanent Draft	Non-marine hypersaline water viral communities from Mallorca 2014 (Spain)E1	Non-marine hypersaline water viral communities from Mallorca, Spain, 2014 - E1 T8	University of Alicante	3300007019	24546530	70895	44811	
3300022333	*Microbiome	Permanent Draft	Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia	Microbial mat bacterial and archaeal communities from Garden Lake, Rottnest Island (WA - Australia) - GL1GP1 JM10	AGRF	3300022333	22442927	45355	32555	
3300034138	*Microbiome	Permanent Draft	Soil and biocrust microbial communities from Mojave Desert, California, United States	Biocrust microbial communities from Mojave Desert, California, United States - 51SNC	DOE Joint Genome Institute (JGI)	3300034138	383817356	871911	674423	
2081372007	*Microbiome	Permanent Draft	Hypersaline microbial communities from Antarctic Deep Lake	Hypersaline microbial communities from Antarctic Deep Lake - 24m 3.0um v1 (version 2)	DOE Joint Genome Institute (JGI)	2081372007	56949331	118764	99150	
3300045911	*Microbiome	Permanent Draft	Microbial mat bacterial communities from hot springs in Waikite Valley, Taupo Volcanic Zone, New Zealand	Microbial mat bacterial communities from hot spring in Waikite Valley, New Zealand - LMW_ETR_NZ_2018_Waikite_2_1	DOE Joint Genome Institute (JGI)	3300045911	796576723	1022684	393280	
3300023439	*Microbiome	Permanent Draft	Hydrothermal Fe-rich Mat Reference Genomes	Hydrothermal Fe-rich mat microbial community from TAG Site, Mid-Atlantic Ridge, Atlantic Ocean - 665-MMA12	University of Delaware	3300023439	160924757	261775	131024	
3300000865	*Microbiome	Permanent Draft	Hot springs sediment microbial communities from Tengchong, China, analyzing PIRE metagenomes	Hot spring sediment from Gongxiaoshe in Tengchong, China	Stanford University	3300000865	71805996	93343	28411	
3300022497	*Microbiome	Permanent Draft	Acid mine drainage microbial communities from Malanjkhand copper mine, India	Acid mine drainage microbial communities from Malanjkhand copper mine, India - M16_II Kmer_63	Indian Institute of Technology, kharagpur	3300022497	232657905	946633	945867	
3300009686	*Microbiome	Permanent Draft	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	Glacier valley bacterial and archeal communities from Borup Fiord, Nunavut, Canada, to study Microbial Dark Matter (Phase II) - groundupSSSS metaG	DOE Joint Genome Institute (JGI)	3300009686	977971402	1818470	1208905	
3300018839	*Microbiome	Permanent Draft	Biological soil crust microbial communities from Moab Desert,  Utah to study responses to pulsed climate events	Soil crust microbial communities from Colorado Plateau, Utah, USA - late stage, 18 hrs after wetting v1	QB3 Vincent J. Coates Genomics Sequencing Laboratory	3300018839	255985331	488856	339430	
3300011195	*Microbiome	Permanent Draft	Metagenomes of Arctic soils	Arctic soil microbial communities form glacier forefield, Midre Lovenbreen, Svalbard, Norway (Sample 4 - S13.1.30.a - transect 1, age 5 years, surface depth)	University of Bristol	3300011195	6405001	20870	18484	
3300011246	*Microbiome	Permanent Draft	Metagenomes of Arctic soils	Glacer surface microbial communities from an Arctic cyroconite hole, Midre Lovenbreen, Svalbard, Norway (Sample 22)	University of Bristol	3300011246	61826702	146961	115393	
3300017519	*Microbiome	Permanent Draft	Bras del Port Julio 2014	Non-marine hypersaline water microbial communities from Bras del Port saltern pond, Alicante, Spain - CCAB July 2014	University of Valencia	3300017519	60622891	175204	120396	
3300028225	*Microbiome	Permanent Draft	Antarctic microbial communities	Marine microbial communities from Organic Lake, Antarctica - GS378 with 0.8UM filter - spades	JGI facility at Oak Ridge National Laboratory	3300028225	35370488	62369	20530	
3300015190	*Microbiome	Permanent Draft	Metagenomes of Arctic soils	Arctic soil microbial communities from a glacier forefield, Storglaciaren, Tarfala, Sweden (Sample st-4a, rock/ice/stream interface)	University of Bristol	3300015190	214964286	464766	324248	
3300003650	*Microbiome	Permanent Draft	Subglacial freshwater microbial communities from Lake Whillans, Antarctica	Subglacial freshwater microbial communities from Lake Whillans, Antarctica - 3.0 micron filter		3300003650	19186035	30683	15626	
3300002540	*Microbiome	Permanent Draft	Hot spring microbial communities from Yellowstone National Park	Hot spring thermophilic microbial communities from Obsidian Pool, Yellowstone National Park, USA - site 1 bottle 14	DOE Joint Genome Institute (JGI)	3300002540	9640893	14159	6486	
3300022408	*Microbiome	Permanent Draft	Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia	Microbial mat bacterial and archaeal communities from Herschel Lake, Rottnest Island (WA - Australia) - HL3WBGP2 JM83	AGRF	3300022408	49367934	83173	54877	
3300021792	*Microbiome	Permanent Draft	Characterization of microbial community from Mariana Back Arc	Hydrothermal fluids microbial communities from Mariana Back-Arc Basin vent fields, Pacific Ocean - Illium_FS922 150_kmer	Marine Biological Laboratory	3300021792	1192904262	2121588	1494895	
3300012530	*Microbiome	Permanent Draft	Polar desert microbial communities from Antarctic Dry Valleys	Polar desert sand microbial communities from Dry Valleys, Antarctica - metaG UQ85 (21.06)	DOE Joint Genome Institute (JGI)	3300012530	615422311	1394326	1043121	
3300017987	*Microbiome	Permanent Draft	Hypersaline lake sediment archaeal communities from the Salton Sea, California, USA	Hypersaline lake sediment archaeal communities from the Salton Sea, California, USA - SS_1_MS_1 metaG	DOE Joint Genome Institute (JGI)	3300017987	2039414648	3805730	2463177	
3300000530	*Microbiome	Permanent Draft	Acid mine drainage (AMD) microbial communities from Fan Kou Mine, Shaoguan city, Guangdong Province, China	Acid mine drainage (AMD) microbial communities from Fan Kou Mine, Shaoguan city, Guangdong Province, China - PRO_U	Macrogen	3300000530	5290185	8196	2291	
3300009591	*Microbiome	Permanent Draft	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	Hot spring microbial communities from Sandy's Spring West, USA to study Microbial Dark Matter (Phase II) - SSWsed_130316	DOE Joint Genome Institute (JGI)	3300009591	233530326	618870	497382	
2084038003	*Microbiome	Permanent Draft	Acid mine drainage microbial communities from Yunfu, Dabaoshan, and Foukou, China, of pyrites, lead-zinc tailings, and polymetallic ore	Acid Mine Drainage metagenome from Yunfu pyrites lake	Sun Yat-Sen University	2084038003	9582362	16020	5149	
3300034175	*Microbiome	Permanent Draft	Soil and biocrust microbial communities from Mojave Desert, California, United States	Biocrust microbial communities from Mojave Desert, California, United States - 35SMC	DOE Joint Genome Institute (JGI)	3300034175	750501172	1719742	1333782	
2119805006	*Microbiome	Permanent Draft	Hot spring nanoarchaeal communities from Obsidian Pool, Yellowstone National Park	Enrichment of Obsidian Pool sample	HudsonAlpha Institute for Biotechnology, Oak Ridge National Laboratory	2119805006	53423776	139910	163119	
3300017496	*Microbiome	Permanent Draft	Bras del Port Noviembre 2014	Non-marine hypersaline water microbial communities from Bras del Port saltern pond, Alicante, Spain - CR30 Nov 2014	University of Valencia	3300017496	33852536	113008	91154	
3300040696	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Jornada LTER, Desert Southwest, NM, USA - JORN_045-M-20170808-COMP-DNA1	Battelle Memorial Institute	3300040696	1076495	3183	2957	
3300023214	*Microbiome	Permanent Draft	Solar saltern microbial communities from the Namib Desert	Sediment microbial communities from solar saltern in Namib Desert, Swakopmund, Namibia - Eisfeld sink 2016	Genewiz Inc.	3300023214	911290053	1283765	584219	
3300013792	*Microbiome	Permanent Draft	Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean	Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean - FS856 IDBA reassembly	Marine Biological Laboratory	3300013792	107626372	198204	119634	
3300034142	*Microbiome	Permanent Draft	Soil and biocrust microbial communities from Mojave Desert, California, United States	Biocrust microbial communities from Mojave Desert, California, United States - 55SNC	DOE Joint Genome Institute (JGI)	3300034142	226226483	549771	448067	
3300013786	*Microbiome	Permanent Draft	Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean	Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean - FS877 IDBA reassembly	Marine Biological Laboratory	3300013786	18851012	22302	6259	
3300021468	*Microbiome	Permanent Draft	Microbial communities from sediments and microbial mats in various locations	Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4872-18-3-4_MG	DOE Joint Genome Institute (JGI)	3300021468	516607444	1034703	701658	
3300001554	*Microbiome	Permanent Draft	Hydrothermal vent plume microbial communities from the Cayman RIse, Caribbean Sea	Hydrothermal vent plume microbial communities from the Cayman RIse, Caribbean Sea - Cayman Shallow_MG2b		3300001554	2854089	3516	1096	
3300029958	*Microbiome	Permanent Draft	Axial Seamount Reassemblies	Diffuse hydrothermal flow volcanic vent microbial communities from Axial Seamount, northeast Pacific ocean - Background CTD	Marine Biological Laboratory	3300029958	25406035	57694	42505	
3300021491	*Microbiome	Permanent Draft	Microbial communities from sediments and microbial mats in various locations	Hydrothermal vent sediment bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4872-04-5-6_MG	DOE Joint Genome Institute (JGI)	3300021491	131033271	278801	193681	
3300003631	*Microbiome	Permanent Draft	Hypersaline viral and bacterial communities from Bras del Port, Santa Pola, Spain	Hypersaline viral communities from Bras del Port, Santa Pola, Spain - LoValdivia P1	Lifesequencing S.L.	3300003631	19344232	39542	14103	
3300013788	*Microbiome	Permanent Draft	Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean	Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean - FS872 IDBA reassembly	Marine Biological Laboratory	3300013788	50329742	54261	18637	
3300022457	*Microbiome	Permanent Draft	Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia	Microbial mat bacterial and archaeal communities from Serpentine Lake, Rottnest Island (WA - Australia) - SL1OPP3 JM96	AGRF	3300022457	57767483	96143	62115	
3300044994	*Microbiome	Permanent Draft	Microbial mat bacterial communities from hot springs in Waikite Valley, Taupo Volcanic Zone, New Zealand	Microbial mat bacterial communities from hot spring in Waikite Valley, New Zealand - LMW_ETR_NZ_2018_Waikite_1_2	DOE Joint Genome Institute (JGI)	3300044994	515184305	644871	222638	
3300022359	*Microbiome	Permanent Draft	Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia	Microbial mat bacterial and archaeal communities from Serpentine Lake, Rottnest Island (WA - Australia) - SL2BM3 JM30	AGRF	3300022359	35768432	69848	49736	
3300034030	*Microbiome	Permanent Draft	Soil and biocrust microbial communities from Mojave Desert, California, United States	Biocrust microbial communities from Mojave Desert, California, United States - 48SNC	DOE Joint Genome Institute (JGI)	3300034030	316244874	692006	538544	
3300012679	*Microbiome	Permanent Draft	Polar desert microbial communities from Antarctic Dry Valleys	Polar desert sand microbial communities from Dry Valleys, Antarctica - metaG UQ299 (21.06)	DOE Joint Genome Institute (JGI)	3300012679	973250012	2120495	1494527	
3300019863	*Microbiome	Finished	Marine microbial communities from Tor Caldara	Marine established microbial mat bacterial communities from Tor Caldara shallow water vent, Tyrrhenian Sea, Italy - TCM1 re-assembly(megahit)	Molecular Research LP (MR DNA)	3300019863	226385715	479229	340971	
3300031830	*Microbiome	Permanent Draft	Phototrophic mat microbial and viral communities from various hot springs in Yellowstone National Park, Wyoming, United States	Hot spring phototrophic mat microbial communities from Mushroom Spring, Yellowstone National Park, Wyoming, United States - 20060912_MSe4	DOE Joint Genome Institute (JGI)	3300031830	317592575	662225	507828	
3300001763	*Microbiome	Permanent Draft	Hydrothermal vent plume microbial communities from the Cayman Rise, Cayman Islands	Hydrothermal vent plume microbial communities from the Mid Cayman Rise - Beebe Supr51		3300001763	76082151	113445	51767	
3300003872	*Microbiome	Permanent Draft	Black Smoker Hydrothermal vent Microbial communities from Manus Basin , Bismarck Sea	Black Smoker Hydrothermal vent Microbial communities from Manus Basin , Bismarck Sea - Sample 373Cnorm	Max Planck Institute for Plant Breeding Research	3300003872	95292087	122217	32291	
3300013779	*Microbiome	Permanent Draft	Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean	Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean - FS849 IDBA reassembly	Marine Biological Laboratory	3300013779	5699510	7739	4024	
3300045922	*Microbiome	Permanent Draft	Microbial mat bacterial communities from hot springs in Waikite Valley, Taupo Volcanic Zone, New Zealand	Microbial mat bacterial communities from hot spring in Waikite Valley, New Zealand - LMW_ETR_NZ_2018_Waikite_5_1	DOE Joint Genome Institute (JGI)	3300045922	785619576	1030039	394535	
3300005746	*Microbiome	Permanent Draft	Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean	Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean - FS848	Marine Biological Laboratory	3300005746	14754474	19942	9407	
3300026382	*Microbiome	Permanent Draft	Marine microbial communities from hydrothermal vents in the Atlantic and Pacific Ocean	Hydrothermal vent microbial communities from Guaymas Basin, Mexico - 4561-380	DOE Joint Genome Institute (JGI)	3300026382	150696482	273636	146535	
3300022406	*Microbiome	Permanent Draft	Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia	Microbial mat bacterial and archaeal communities from Herschel Lake, Rottnest Island (WA - Australia) - HL3WBGP3 JM84	AGRF	3300022406	50273371	83262	52169	
3300022345	*Microbiome	Permanent Draft	Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia	Microbial mat bacterial and archaeal communities from Herschel Lake, Rottnest Island (WA - Australia) - HL3WBGP1 JM7	AGRF	3300022345	32241371	60046	41999	
3300000436	*Microbiome	Permanent Draft	Soil microbial communities from four geographically distinct crusts in the Colorado Plateau and Sonoran desert	Soil microbial communities from Colorado Plateau, Greene Butte sample - Light Crust, Colorado Plateau, Green Butte	DOE Joint Genome Institute (JGI)	3300000436	81013524	128691	55862	
3300015061	*Microbiome	Permanent Draft	Metagenomes of Arctic soils	Arctic soil microbial communities from a glacier forefield, Russell Glacier, Kangerlussuaq, Greenland (Sample G5B, Northern proglacial tributary margin, adjacent to top of river)	University of Bristol	3300015061	22184640	48779	37335	
3300028611	*Microbiome	Permanent Draft	Microbial communities from Yellowstone National Park hot springs 2017	Hot spring sediment microbial communities from Smoking Gun phototrophic mat, Yellowstone National Park, USA - 170626C	University of Minnesota	3300028611	108943318	208402	150190	
3300022310	*Microbiome	Permanent Draft	Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia	Microbial mat bacterial and archaeal communities from Herschel Lake, Rottnest Island (WA - Australia) - HL1BM1 JM1	AGRF	3300022310	38405351	72298	51501	
3300029896	*Microbiome	Permanent Draft	Cryoconite microbial communities around the Greenland ice sheet	Cryoconite microbial communities from ice sheet in Tasiilaq, Greenland - TAS_L-C3b	DMAC, Technical University of Denmark	3300029896	214289798	375302	228082	
3300019142	*Microbiome	Permanent Draft	Biological soil crust microbial communities from Moab Desert,  Utah to study responses to pulsed climate events	Soil crust microbial communities from Colorado Plateau, Utah, USA - mid late stage, 3 min after wetting v1	QB3 Vincent J. Coates Genomics Sequencing Laboratory	3300019142	485716959	998209	756343	
3300006084	*Microbiome	Permanent Draft	Diffuse hydrothermal flow volcanic vent microbial communities from Axial Seamount, northeast Pacific Ocean	Diffuse hydrothermal flow volcanic vent microbial communities from Axial Seamount, northeast Pacific ocean - Sample CTD1200_DNA	Marine Biological Laboratory	3300006084	35162592	104644	85989	
3300003690	*Microbiome	Permanent Draft	Hydrothermal vent plume microbial communities from the Mid Cayman Rise - Piccard2013-Plume	Hydrothermal vent plume microbial communities from the Mid Cayman Rise - Piccard2013-Plume - Viral/microbial metagenome assembly	University of Michigan	3300003690	75062163	94674	7633	
3300031512	*Microbiome	Permanent Draft	Phototrophic mat microbial and viral communities from various hot springs in Yellowstone National Park, Wyoming, United States	Hot spring phototrophic mat microbial communities from Mushroom Spring, Yellowstone National Park, Wyoming, United States - 20051001_T8	DOE Joint Genome Institute (JGI)	3300031512	328936691	665865	501050	
3300017971	*Microbiome	Permanent Draft	Hypersaline lake sediment archaeal communities from the Salton Sea, California, USA	Hypersaline lake sediment archaeal communities from the Salton Sea, California, USA - SS_3_D_2 metaG	DOE Joint Genome Institute (JGI)	3300017971	2435798494	4718530	3029134	
3300021978	*Microbiome	Permanent Draft	Characterization of microbial community from Mariana Back Arc	Hydrothermal fluids microbial communities from Mariana Back-Arc Basin vent fields, Pacific Ocean - Perseverance_CTD_V16A_01_btl17 _150kmer	Marine Biological Laboratory	3300021978	556025724	1098648	727046	
3300017524	*Microbiome	Permanent Draft	Bras del Port Dic 2016	Non-marine hypersaline water microbial communities from Bras del Port saltern pond, Alicante, Spain - CM1 Febrary 2014	University of Valencia	3300017524	68404267	237214	194046	
3300003312	*Microbiome	Permanent Draft	Ore pile and mine drainage contaminated soil microbial communities from Mina do Sossego, Brazil, in a copper mine	Ore pile and mine drainage contaminated soil microbial communities from Mina do Sossego, Brazil - P1 sample	University of Campinas	3300003312	241760515	344800	135385	
3300020607	*Microbiome	Permanent Draft	Marine microbial communities from Tor Caldara	Marine established microbial mat bacterial communities from Tor Caldara shallow water vent, Tyrrhenian Sea, Italy - TCM5 re-assembly(spades)	Molecular Research LP (MR DNA)	3300020607	117211026	190477	107763	
2009439000	*Microbiome	Draft	Hot spring microbial communities from Bison Spring, Yellowstone National Park, USA, analyzing thermal gradients	2_050719S	DOE Joint Genome Institute (JGI)	2009439000	31802272	51132	26296	
3300012187	*Microbiome	Permanent Draft	Polar desert microbial communities from Antarctic Dry Valleys	Polar desert sand microbial communities from Dry Valleys, Antarctica - metaG UQ448 (21.06)	DOE Joint Genome Institute (JGI)	3300012187	806250750	1749225	1223450	
3300010291	*Microbiome	Permanent Draft	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	Hot spring sediment bacterial and archeal communities from California, USA to study Microbial Dark Matter (Phase II) - Blank Spring sediment metaG	DOE Joint Genome Institute (JGI)	3300010291	507999722	893655	569408	
3300001707	*Microbiome	Permanent Draft	Hydrothermal vent plume microbial communities from the Cayman Rise, Cayman Islands	Hydrothermal vent plume microbial communities from the Mid Cayman Rise - Beebe Supr50		3300001707	24423628	39518	20200	
3300002157	*Microbiome	Permanent Draft	Saline desert soil microbial communities from Kutch, Gujarat, India	Saline desert soil microbial communities from Kutch, Gujarat, India - S6		3300002157	300833452	2224072	2274350	
3300031922	*Microbiome	Permanent Draft	Microbial communities from the deep biosphere	Spring water microbial communities from the Voltri Massif travertine in Liguria, Italy - LIG_GOR1CDEF_2013 re-assembly	The Marine Biological Laboratory	3300031922	244465973	593398	476852	
3300022460	*Microbiome	Permanent Draft	Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia	Microbial mat bacterial and archaeal communities from Herschel Lake, Rottnest Island (WA - Australia) - HL3WBGP2 JM62	AGRF	3300022460	59853604	105026	68276	
3300005754	*Microbiome	Permanent Draft	Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean	Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean - FS841	Marine Biological Laboratory	3300005754	72829646	438836	442832	
3300028613	*Microbiome	Permanent Draft	Microbial communities from Yellowstone National Park hot springs 2017	Hot spring sediment microbial communities from Bison pool fringe, Yellowstone National Park, USA - 170627A	University of Minnesota	3300028613	316999032	710899	585462	
3300027987	*Microbiome	Permanent Draft	Black smoker hydrothermal vent sediment microbial communities from the Guaymas Basin, Mid-Atlantic Ridge, South Atlantic Ocean	Black smoker hydrothermal vent sediment microbial communities from the Guaymas Basin, Mid-Atlantic Ridge, South Atlantic Ocean - BSmoChi-MAR-TVG11	Beijing Genomics Institute (BGI)	3300027987	2907801961	3666640	1513060	
3300001392	*Microbiome	Permanent Draft	Black smokers hydrothermal plume microbial communities from the Eastern Lau Spreading Center	ELSC Metagenome		3300001392	380869738	508679	133388	
3300022350	*Microbiome	Permanent Draft	Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia	Microbial mat bacterial and archaeal communities from Lake Baghdad, Rottnest Island (WA - Australia) - LBBM3 JM48	AGRF	3300022350	37051997	70767	48665	
3300034378	*Microbiome	Permanent Draft	Hypersaline lacustrine bacterial communities from Kiritimati Island	Lacustrine bacterial communities from hypersaline Lake 1, Kiritimati Island, Kiribati - 40.2 cm	University of Illinois, Urbana-Champaign	3300034378	289112036	527534	338382	
3300038493	*Microbiome	Permanent Draft	Acid mine drainage microbial biofilm communities from Richmond Mine, California, USA	Acid mine drainage biofilm communities from Richmond mine site AB20, Iron Mt, CA, USA - AMDAB200606DS1	University of California, Berkeley	3300038493	15579646	22774	7338	
3300023307	*Microbiome	Permanent Draft	Hydrothermal Fe-rich Mat Reference Genomes	Hydrothermal Fe-rich mat microbial community from Urashima Vent Field, Mariana Arc, Pacific Ocean - 801-SC8	University of Delaware	3300023307	20042752	40295	27287	
3300045256	*Microbiome	Permanent Draft	Microbial mat bacterial communities from hot springs in Waikite Valley, Taupo Volcanic Zone, New Zealand	Microbial mat bacterial communities from hot spring in Waikite Valley, New Zealand - LMW_ETR_NZ_2018_Waikite_6_1b	DOE Joint Genome Institute (JGI)	3300045256	1455238108	1908647	757981	
3300009083	*Microbiome	Permanent Draft	Freshwater microbial communities from lake liftoff mats and glacier meltwater in Antarctica	Freshwater microbial communities from Lake Fryxell liftoff mats and glacier meltwater in Antarctica - MAT-04 (megahit assembly)	DOE Joint Genome Institute (JGI)	3300009083	2919217925	5077351	3215640	
3300032045	*Microbiome	Permanent Draft	Phototrophic mat microbial and viral communities from various hot springs in Yellowstone National Park, Wyoming, United States	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20060914_OS12-65	DOE Joint Genome Institute (JGI)	3300032045	275539904	623182	486820	
3300022442	*Microbiome	Permanent Draft	Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia	Microbial mat bacterial and archaeal communities from Serpentine Lake, Rottnest Island (WA - Australia) - SL1OPP1 JM73	AGRF	3300022442	60942325	105174	69494	
3300018866	*Microbiome	Permanent Draft	Biological soil crust microbial communities from Moab Desert,  Utah to study responses to pulsed climate events	Soil crust microbial communities from Colorado Plateau, Utah, USA - late stage, 9hrs v1	QB3 Vincent J. Coates Genomics Sequencing Laboratory	3300018866	265201681	535585	398603	
3300014914	*Microbiome	Permanent Draft	Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico	Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico - Guay2, Core 4569-9, 9-12 cm	DOE Joint Genome Institute (JGI)	3300014914	1531843996	3494594	2544477	
3300000083	*Microbiome	Permanent Draft	Hot Spring microbial communities from Great Boiling Spring, Nevada	Hot spring microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment S 77C v1	DOE Joint Genome Institute (JGI)	3300000083	63331166	117970	74534	
3300021493	*Microbiome	Permanent Draft	Microbial communities from sediments and microbial mats in various locations	Hydrothermal vent sediment bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4870-07-3-4_MG	DOE Joint Genome Institute (JGI)	3300021493	144589974	293536	188306	
3300022417	*Microbiome	Permanent Draft	Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia	Microbial mat bacterial and archaeal communities from Serpentine Lake, Rottnest Island (WA - Australia) - SL1OPP3 JM27	AGRF	3300022417	47777028	89267	63987	
3300028839	*Microbiome	Permanent Draft	Microbial communities from Yellowstone National Park hot springs 2017	Hot spring sediment microbial communities from Flat Cone (photo OnOff), Yellowstone National Park, USA - 170627E	University of Minnesota	3300028839	475303863	1088432	913464	
3300021980	*Microbiome	Permanent Draft	Characterization of microbial community from Mariana Back Arc	Hydrothermal fluids microbial communities from Mariana Back-Arc Basin vent fields, Pacific Ocean - Burke_FS924 _150kmer	Marine Biological Laboratory	3300021980	974958885	1881906	1390344	
3300034251	*Microbiome	Permanent Draft	Soil and biocrust microbial communities from Mojave Desert, California, United States	Sub-biocrust soil microbial communities from Mojave Desert, California, United States - 43SMS	DOE Joint Genome Institute (JGI)	3300034251	358828221	876602	701307	
3300021506	*Microbiome	Permanent Draft	Microbial communities from sediments and microbial mats in various locations	Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4872-18-1-2_MG	DOE Joint Genome Institute (JGI)	3300021506	237083223	525249	396755	
