"taxon_oid","ID1","ID2","KO","Phylum","Class","Order","Family","Genus","Species"
"3300028422","Ga0304770_129348391","Ga0304770_12934839","K03392","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028422","Ga0304770_133610651","Ga0304770_13361065","K06215","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028422","Ga0304770_118581971","Ga0304770_11858197","K07126","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028422","Ga0304770_128511971","Ga0304770_12851197","K07126","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028422","Ga0304770_105458421","Ga0304770_10545842","K07203","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028422","Ga0304770_102654031","Ga0304770_10265403","K10356","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028422","Ga0304770_133858581","Ga0304770_13385858","K17795","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028490","Ga0256824_104515381","Ga0256824_10451538","K01514","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028490","Ga0256824_102323001","Ga0256824_10232300","K07126","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028490","Ga0256824_109108111","Ga0256824_10910811","K07126","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028490","Ga0256824_104662611","Ga0256824_10466261","K15503","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028609","Ga0309760_12012761","Ga0309760_1201276","K05673","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028613","Ga0309763_110220311","Ga0309763_11022031","K01537","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028613","Ga0309763_109835901","Ga0309763_10983590","K04460","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028834","Ga0310047_12250721","Ga0310047_1225072","K00459","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028834","Ga0310047_11610041","Ga0310047_1161004","K01081","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028836","Ga0310043_13981141","Ga0310043_1398114","K01392","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028836","Ga0310043_14155251","Ga0310043_1415525","K01920","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028838","Ga0310052_11043631","Ga0310052_1104363","K14157","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028838","Ga0310052_16840251","Ga0310052_1684025","K14157","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028838","Ga0310052_16841911","Ga0310052_1684191","K14157","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028839","Ga0309765_117232271","Ga0309765_11723227","K07126","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028839","Ga0309765_117051311","Ga0309765_11705131","K14157","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028843","Ga0310045_108426661","Ga0310045_10842666","K01081","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028843","Ga0310045_103803001","Ga0310045_10380300","K01488","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028843","Ga0310045_109735341","Ga0310045_10973534","K09490","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028843","Ga0310045_106235611","Ga0310045_10623561","K12818","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028843","Ga0310045_108160621","Ga0310045_10816062","K14457","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028894","Ga0310049_12144411","Ga0310049_1214441","K07375","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028896","Ga0310050_11855761","Ga0310050_1185576","K07050","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028899","Ga0310044_101691631","Ga0310044_10169163","K01488","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028899","Ga0310044_102130291","Ga0310044_10213029","K01514","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028899","Ga0310044_101349711","Ga0310044_10134971","K01519","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028899","Ga0310044_105417151","Ga0310044_10541715","K01783","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028899","Ga0310044_106820081","Ga0310044_10682008","K01920","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028899","Ga0310044_107223071","Ga0310044_10722307","K16190","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028899","Ga0310044_106601301","Ga0310044_10660130","K19755","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028900","Ga0310054_102301631","Ga0310054_10230163","K00586","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028900","Ga0310054_105229151","Ga0310054_10522915","K01082","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028900","Ga0310054_104226721","Ga0310054_10422672","K01341","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028900","Ga0310054_107577671","Ga0310054_10757767","K01425","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028900","Ga0310054_109301731","Ga0310054_10930173","K01488","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028900","Ga0310054_101987121","Ga0310054_10198712","K10747","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300029894","Ga0247028_11951851","Ga0247028_1195185","K00658","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300029894","Ga0247028_12031481","Ga0247028_1203148","K12460","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300029894","Ga0247028_12455931","Ga0247028_1245593","K19791","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_dermatitidis"
"3300029895","Ga0247043_10913681","Ga0247043_1091368","K19791","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_dermatitidis"
"3300029895","Ga0247043_11833601","Ga0247043_1183360","K19791","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_dermatitidis"
"3300029895","Ga0247043_12122641","Ga0247043_1212264","K19791","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_dermatitidis"
"3300029896","Ga0247044_12164601","Ga0247044_1216460","K03883","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300029896","Ga0247044_11627701","Ga0247044_1162770","K17841","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300029897","Ga0247036_12321501","Ga0247036_1232150","K15321","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_dermatitidis"
"3300029897","Ga0247036_11023421","Ga0247036_1102342","K19791","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_dermatitidis"
"3300029897","Ga0247036_11767091","Ga0247036_1176709","K19791","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_dermatitidis"
"3300029898","Ga0247046_11838761","Ga0247046_1183876","K15321","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_dermatitidis"
"3300029898","Ga0247046_11365501","Ga0247046_1136550","K19791","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_dermatitidis"
"3300029898","Ga0247046_11720681","Ga0247046_1172068","K19791","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_dermatitidis"
"3300029899","Ga0247047_12118291","Ga0247047_1211829","K01694","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300029899","Ga0247047_12423481","Ga0247047_1242348","K03883","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300029899","Ga0247047_11037371","Ga0247047_1103737","K08817","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300029899","Ga0247047_11915341","Ga0247047_1191534","K19791","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_dermatitidis"
"3300029899","Ga0247047_12333041","Ga0247047_1233304","K19791","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_dermatitidis"
"3300029899","Ga0247047_12368601","Ga0247047_1236860","K19791","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_dermatitidis"
"3300029899","Ga0247047_12468971","Ga0247047_1246897","K19791","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_dermatitidis"
"3300029900","Ga0247048_11686661","Ga0247048_1168666","K08817","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300029901","Ga0247051_12725491","Ga0247051_1272549","K11541","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300029901","Ga0247051_13695481","Ga0247051_1369548","K17732","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300029912","Ga0247050_11709531","Ga0247050_1170953","K07126","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300029912","Ga0247050_12370221","Ga0247050_1237022","K17732","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300030115","Ga0247045_11638631","Ga0247045_1163863","K01178","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300030115","Ga0247045_10833061","Ga0247045_1083306","K19791","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_dermatitidis"
"3300030115","Ga0247045_11343741","Ga0247045_1134374","K19791","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_dermatitidis"
"3300030115","Ga0247045_11775391","Ga0247045_1177539","K19791","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_dermatitidis"
"3300031245","Ga0308395_13062631","Ga0308395_1306263","K01489","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031508","Ga0308394_12913931","Ga0308394_1291393","K01966","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031508","Ga0308394_11942591","Ga0308394_1194259","K15371","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031513","Ga0308412_15351101","Ga0308412_1535110","K07126","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031515","Ga0308396_11454501","Ga0308396_1145450","K00384","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031515","Ga0308396_12277351","Ga0308396_1227735","K15371","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031516","Ga0308398_13017761","Ga0308398_1301776","K08779","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031875","Ga0308405_15640201","Ga0308405_1564020","K02355","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031922","Ga0326330_11238221","Ga0326330_1123822","K01739","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031922","Ga0326330_14764521","Ga0326330_1476452","K01870","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031922","Ga0326330_11783051","Ga0326330_1178305","K02274","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031922","Ga0326330_14228101","Ga0326330_1422810","K03555","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_101145281","Ga0326331_10114528","K00020","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_109354321","Ga0326331_10935432","K00330","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_105445851","Ga0326331_10544585","K00412","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_108765091","Ga0326331_10876509","K00412","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_103658091","Ga0326331_10365809","K00600","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_106465231","Ga0326331_10646523","K00963","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_104127621","Ga0326331_10412762","K01183","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_104497691","Ga0326331_10449769","K01187","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_102261961","Ga0326331_10226196","K01539","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_109553831","Ga0326331_10955383","K01681","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_101904001","Ga0326331_10190400","K01873","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_103487241","Ga0326331_10348724","K01890","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_102265571","Ga0326331_10226557","K02126","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_100209791","Ga0326331_10020979","K02256","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_103781951","Ga0326331_10378195","K02324","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_102426721","Ga0326331_10242672","K02434","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_107208201","Ga0326331_10720820","K02727","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_103438671","Ga0326331_10343867","K02872","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_102351681","Ga0326331_10235168","K03850","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_109354321","Ga0326331_10935432","K03880","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_109211991","Ga0326331_10921199","K03935","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_109502831","Ga0326331_10950283","K03935","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_103808061","Ga0326331_10380806","K04392","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_106161501","Ga0326331_10616150","K04392","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_103686011","Ga0326331_10368601","K04536","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_106541621","Ga0326331_10654162","K04567","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_101662621","Ga0326331_10166262","K05658","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_101862431","Ga0326331_10186243","K06677","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_108356641","Ga0326331_10835664","K07126","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_106390431","Ga0326331_10639043","K07190","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_107086931","Ga0326331_10708693","K07199","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_105972741","Ga0326331_10597274","K07238","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_106386971","Ga0326331_10638697","K07374","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_102960951","Ga0326331_10296095","K07375","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_109968541","Ga0326331_10996854","K07375","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_105175091","Ga0326331_10517509","K07513","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_109471851","Ga0326331_10947185","K07739","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_105103021","Ga0326331_10510302","K07759","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_103808061","Ga0326331_10380806","K07861","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_103854391","Ga0326331_10385439","K08850","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_107800611","Ga0326331_10780061","K09490","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_105321111","Ga0326331_10532111","K09500","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_107643181","Ga0326331_10764318","K10408","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300031923","Ga0326331_109532831","Ga0326331_10953283","K10408","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
