taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	Is Public	Public Release Date	Genome Size   * assembled	Gene Count   * assembled	JGI Data Utilization Status
640281007	Eukaryota	Permanent Draft	Magnaporthe grisea 70-15	Pyricularia oryzae 70-15	Broad Institute	640281007	Ascomycota	Sordariomycetes	Magnaporthales	Pyriculariaceae	Pyricularia	Pyricularia oryzae	Yes	9/1/07	41495860	13146	
640281012	Eukaryota	Finished	Aspergillus niger CBS 513.88	Aspergillus niger CBS 513.88	DSM	640281012	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus niger	Yes	9/1/07	33975568	14431	
640281000	Eukaryota	Draft	Aspergillus nidulans FGSC A4	Aspergillus nidulans FGSC A4	Broad Institute	640281000	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus nidulans	Yes	9/1/07	30166802	9727	
640281015	Eukaryota	Permanent Draft	Neurospora crassa OR74A	Neurospora crassa OR74A	Broad Institute	640281015	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Neurospora	Neurospora crassa	Yes	9/1/07	37097299	10078	
640281008	Eukaryota	Permanent Draft	Aspergillus terreus NIH2624	Aspergillus terreus NIH2624	"Broad Institute, J. Craig Venter Institute (JCVI), University of Manchester"	640281008	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus terreus	Yes	9/1/07	29164877	10556	
640281006	Eukaryota	Finished	Fusarium graminearum PH-1	Fusarium graminearum PH-1	Broad Institute	640281006	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum	Yes	9/1/07	36487276	11640	
640281003	Eukaryota	Permanent Draft	Ustilago maydis 521	Ustilago maydis 521	"Bayer, Broad Institute, LION Bioscience AG"	640281003	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilago	Ustilago maydis	Yes	9/1/07	19637972	6631	
640281005	Eukaryota	Permanent Draft	Cryptococcus neoformans var neoformans B-3501A	Cryptococcus neoformans var. neoformans B-3501A	"Nagasaki University, Stanford University, University of British Columbia, University of Oklahoma"	640281005	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans	Yes	9/1/07	19699782	6609	
643280124	Eukaryota	Permanent Draft	Genome sequence of an isolate of brewer's yeast Saccharomyces cerevisiae	Saccharomyces cerevisiae YJM789	Stanford University	643280124	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	Yes	4/1/09	11990995	5902	
643280122	Eukaryota	Permanent Draft	Saccharomyces cerevisiae AWRI1631	Saccharomyces cerevisiae AWRI1631	The Australian Wine Research Institute	643280122	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	Yes	4/1/09	11176855	5451	
643280120	Eukaryota	Permanent Draft	Malassezia globosa CBS 7966	Malassezia globosa CBS 7966	Procter and Gamble	643280120	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia globosa	Yes	4/1/09	8958118	4286	
643280121	Eukaryota	Permanent Draft	Enterocytozoon bieneusi H348	Enterocytozoon bieneusi H348	Tufts University	643280121	Microsporidia	unclassified	unclassified	Enterocytozoonidae	Enterocytozoon	Enterocytozoon bieneusi	Yes	4/1/09	3859738	3804	
645666422	Eukaryota	Permanent Draft	Pyrenophora tritici-repentis Pt-1C-BFP	Pyrenophora tritici-repentis Pt-1C-BFP	Broad Institute	645666422	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Pyrenophora	Pyrenophora tritici-repentis	Yes	12/1/09	37997465	12298	
645666419	Eukaryota	Finished	Pichia pastoris GS115	Komagataella pastoris GS115	Ghent University	645666419	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Komagataella	Komagataella phaffii	Yes	12/1/09	9216378	5040	
645666407	Eukaryota	Permanent Draft	Chaetomium globosum CBS 148.51	Chaetomium globosum CBS 148.51	Broad Institute	645666407	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium globosum	Yes	12/1/09	34886939	11232	
645666416	Eukaryota	Permanent Draft	Penicillium marneffei ATCC 18224	Talaromyces marneffei ATCC 18224	J. Craig Venter Institute	645666416	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces marneffei	Yes	12/1/09	28679303	10804	
645666401	Eukaryota	Permanent Draft	Histoplasma capsulatum NAm1	Histoplasma mississippiense NAm1	Broad Institute	645666401	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Histoplasma	Histoplasma mississippiense (nom. inval.)	Yes	12/1/09	33030326	9402	
645666412	Eukaryota	Permanent Draft	Lodderomyces elongisporus NRRL YB-4239	Lodderomyces elongisporus NRRL YB-4239	Broad Institute	645666412	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Lodderomyces	Lodderomyces elongisporus	Yes	12/1/09	15547272	5905	
645666418	Eukaryota	Permanent Draft	Meyerozyma guilliermondii ATCC 6260	Meyerozyma guilliermondii ATCC 6260	Broad Institute	645666418	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Meyerozyma	Meyerozyma guilliermondii	Yes	12/1/09	10609954	6062	
645666403	Eukaryota	Permanent Draft	Aspergillus flavus NRRL 3357	Aspergillus flavus NRRL 3357	J. Craig Venter Institute (JCVI)	645666403	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus flavus	Yes	12/1/09	39974047	13487	
645666426	Eukaryota	Permanent Draft	Vanderwaltozyma polyspora DSM 70294	Vanderwaltozyma polyspora DSM 70294	Trinity College Dublin	645666426	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Vanderwaltozyma	Vanderwaltozyma polyspora	Yes	12/1/09	14674591	5608	
645666405	Eukaryota	Finished	Candida dubliniensis CD36	Candida dubliniensis CD36	Wellcome Trust Sanger Institute	645666405	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida dubliniensis	Yes	12/1/09	14618422	5972	
645666424	Eukaryota	Permanent Draft	Sclerotinia sclerotiorum 1980 UF-70	Sclerotinia sclerotiorum 1980 UF-70	Broad Institute	645666424	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Sclerotinia	Sclerotinia sclerotiorum	Yes	12/1/09	38532806	14637	
645666414	Eukaryota	Permanent Draft	Aspergillus fischeri NRRL 181	Aspergillus fischeri NRRL 181	J. Craig Venter Institute	645666414	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus fischeri	Yes	12/1/09	32551711	10697	
645666404	Eukaryota	Finished	Botryotinia fuckeliana B05.10	Botrytis cinerea B05.10	Broad Institute	645666404	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis cinerea	Yes	12/1/09	42743820	16584	
645666425	Eukaryota	Permanent Draft	Talaromyces stipitatus ATCC 10500	Talaromyces stipitatus ATCC 10500	J. Craig Venter Institute (JCVI)	645666425	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces stipitatus	Yes	12/1/09	35685443	13356	
645666420	Eukaryota	Finished	Podospora anserina S mat+	Podospora anserina S mat+	"CEA Genoscope, University of Bordeaux 2, University of Lyon 1, Wageningen University"	645666420	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	Podospora anserina	Yes	12/1/09	38470132	10760	
645666415	Eukaryota	Permanent Draft	Penicillium chrysogenum Wisconsin 54-1255	Penicillium chrysogenum Wisconsin 54-1255	DSM	645666415	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium rubens	Yes	12/1/09	64452270	13052	
645666427	Eukaryota	Finished	Zygosaccharomyces rouxii CBS 732	Zygosaccharomyces rouxii CBS 732	CEA Genoscope	645666427	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces	Zygosaccharomyces rouxii	Yes	12/1/09	9764635	5272	
645666402	Eukaryota	Permanent Draft	Aspergillus clavatus NRRL 1	Aspergillus clavatus NRRL 1	J. Craig Venter Institute	645666402	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus clavatus	Yes	12/1/09	27859441	9356	
645666411	Eukaryota	Finished	Lachancea thermotolerans CBS 6340	Lachancea thermotolerans CBS 6340	"CEA Genoscope, Institut Pasteur"	645666411	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	Lachancea thermotolerans	Yes	12/1/09	10416446	5371	
645666423	Eukaryota	Permanent Draft	Schizosaccharomyces japonicus yFS275	Schizosaccharomyces japonicus yFS275	Broad Institute	645666423	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	Schizosaccharomyces japonicus	Yes	12/1/09	11300431	5227	
645666406	Eukaryota	Permanent Draft	Candida tropicalis MYA-3404	Candida tropicalis MYA-3404	Broad Institute	645666406	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida tropicalis	Yes	12/1/09	14630139	6441	
645666417	Eukaryota	Permanent Draft	Parastagonospora nodorum SN15	Parastagonospora nodorum SN15	Broad Institute	645666417	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Parastagonospora	Parastagonospora nodorum	Yes	12/1/09	37213987	16126	
645666413	Eukaryota	Finished	Moniliophthora perniciosa FA553	Moniliophthora perniciosa FA553	University of Campinas	645666413	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	Moniliophthora perniciosa	Yes	12/1/09	26663261	13674	
645666409	Eukaryota	Permanent Draft	Coprinopsis cinerea okayama7#130	Coprinopsis cinerea okayama7#130	Broad Institute	645666409	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis cinerea	Yes	12/1/09	36254774	13832	
648943103	Eukaryota	Permanent Draft	Nannizzia gypsea CBS 118893	Nannizzia gypsea CBS 118893	Broad Institute	648943103	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Nannizzia	Nannizzia gypsea	Yes	7/1/11	23268153	9015	
649077309	Eukaryota	Permanent Draft	Coccidioides immitis RS	Coccidioides immitis RS	Broad Institute	649077309	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides immitis	Yes	7/1/11	136401487	16160	
648943112	Eukaryota	Permanent Draft	Tuber melanosporum Mel28	Tuber melanosporum Mel28	CEA Genoscope	648943112	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Tuber	Tuber melanosporum	Yes	7/1/11	124945702	7496	
648943101	Eukaryota	Permanent Draft	Blastomyces gilchristii SLH14081	Blastomyces gilchristii SLH14081	Broad Institute	648943101	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces	Blastomyces gilchristii	Yes	7/1/11	74756303	10047	
648943114	Eukaryota	Permanent Draft	Verticillium albo-atrum VaMs.102	Verticillium albo-atrum VaMs.102	Broad Institute	648943114	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	Verticillium alfalfae	Yes	7/1/11	32862988	10487	
648943105	Eukaryota	Permanent Draft	Candida (Clavispora) lusitaniae ATCC 42720	Clavispora lusitaniae ATCC 42720	Broad Institute	648943105	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora	Clavispora lusitaniae	Yes	7/1/11	12114892	6153	
648943104	Eukaryota	Permanent Draft	Arthroderma otae CBS 113480	Microsporum canis CBS 113480	Broad Institute	648943104	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Microsporum	Microsporum canis	Yes	7/1/11	23263091	8847	
648943109	Eukaryota	Permanent Draft	Paracoccidioides brasiliensis Pb01	Paracoccidioides brasiliensis Pb01	Broad Institute	648943109	Ascomycota	Eurotiomycetes	Onygenales	unclassified	Paracoccidioides	Paracoccidioides lutzii	Yes	7/1/11	32974250	9254	
648943111	Eukaryota	Permanent Draft	Trichophyton verrucosum HKI 0517	Trichophyton verrucosum HKI 0517	Leibniz Institute	648943111	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton verrucosum	Yes	7/1/11	22540967	8086	
648943106	Eukaryota	Permanent Draft	Coccidioides posadasii strains Genome sequencing - Broad Institute	Coccidioides posadasii C735 delta SOWgp	J. Craig Venter Institute	648943106	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides posadasii	Yes	7/1/11	27013412	7255	
648943102	Eukaryota	Permanent Draft	Trichophyton benhamiae CBS 112371	Trichophyton benhamiae CBS 112371	"Hans Knoell Institute (HKI), Leibniz Institute"	648943102	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton benhamiae	Yes	7/1/11	22224160	8041	
648943113	Eukaryota	Permanent Draft	Uncinocarpus reesii 1704	Uncinocarpus reesii 1704	Broad Institute	648943113	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Uncinocarpus	Uncinocarpus reesii	Yes	7/1/11	22315282	7856	
649328905	Eukaryota	Permanent Draft	Phaeodactylum tricornutum CCAP1055/1	Phaeodactylum tricornutum CCAP1055/1	DOE Joint Genome Institute (JGI)	649328905	Bacillariophyta	Bacillariophyceae	Naviculales	Phaeodactylaceae	Phaeodactylum	Phaeodactylum tricornutum	Yes	7/1/11	27450724	10408	
649328906	Eukaryota	Finished	Eukaryotes 2002	Thalassiosira pseudonana CCMP 1335	DOE Joint Genome Institute (JGI)	649328906	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	Thalassiosira pseudonana	Yes	7/1/11	32437365	11673	Unrestricted
648943108	Eukaryota	Permanent Draft	Nosema ceranae BRL01	Nosema ceranae BRL01	454 Life Sciences	648943108	Microsporidia	unclassified	unclassified	Nosematidae	Vairimorpha	Vairimorpha ceranae	Yes	7/1/11	7860219	2124	
2507525031	Eukaryota	Permanent Draft	Fusarium oxysporum lycopersici FGSC 4286	Fusarium oxysporum lycopersici 4287	Broad Institute	2507525031	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum	Yes	9/21/11	61357934	17425	
2507525002	Eukaryota	Permanent Draft	Phanerochaete chrysosporium RP-78	Phanerodontia chrysosporium RP-78	DOE Joint Genome Institute (JGI)	2507525002	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Phanerodontia	Phanerodontia chrysosporium	Yes	9/21/11	35149519	10048	
2507525033	Eukaryota	Permanent Draft	Allomyces macrogynus ATCC 38327	Allomyces macrogynus ATCC 38327	Broad Institute	2507525033	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	Allomyces	Allomyces macrogynus	Yes	9/21/11	57060573	17386	
2507525034	Eukaryota	Permanent Draft	Spizellomyces punctatus DAOM BR117	Spizellomyces punctatus DAOM BR117	Broad Institute	2507525034	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	Spizellomyces punctatus	Yes	9/21/11	24131112	8779	
2508501132	Eukaryota	Permanent Draft	Batrachochytrium dendrobatidis JEL423	Batrachochytrium dendrobatidis JEL423	Broad Institute	2508501132	Chytridiomycota	Chytridiomycetes	Rhizophydiales	unclassified	Batrachochytrium	Batrachochytrium dendrobatidis	Yes	10/21/11	23722384	8806	
2509601012	Eukaryota	Permanent Draft	Schizophyllum commune	Schizophyllum commune H4-8 (version 2)	DOE Joint Genome Institute (JGI)	2509601012	Basidiomycota	Agaricomycetes	Agaricales	Schizophyllaceae	Schizophyllum	Schizophyllum commune	Yes	11/23/11	38624162	14652	Unrestricted
2517093023	Eukaryota	Permanent Draft	Towards functional genomics: development of Schizophyllum commune as a model system to study lignocellulose degradation	Torulaspora delbrueckii CBS 1146	Trinity College Dublin	2517093023	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	Torulaspora delbrueckii	Yes	9/6/12	9220678	5176	
2517093021	Eukaryota	Permanent Draft	Naumovozyma castellii CBS 4309	Naumovozyma castellii CBS 4309	Trinity College Dublin	2517093021	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Naumovozyma	Naumovozyma castellii	Yes	9/6/12	11219539	5870	
2517093022	Eukaryota	Permanent Draft	Tetrapisispora phaffii CBS 4417	"Tetrapisispora phaffii van der Walt Y 89, CBS 4417"	Trinity College Dublin	2517093022	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Tetrapisispora	Tetrapisispora phaffii	Yes	9/6/12	12100190	5460	
2517093020	Eukaryota	Permanent Draft	Naumovozyma dairenensis CBS 421	Naumovozyma dairenensis CBS 421	Trinity College Dublin	2517093020	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Naumovozyma	Naumovozyma dairenensis	Yes	9/6/12	13533150	5816	
2517287009	Eukaryota	Finished	Eremothecium cymbalariae DBVPG#7215	Eremothecium cymbalariae DBVPG#7215	Carlsberg Laboratory	2517287009	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Eremothecium	Eremothecium cymbalariae	Yes	9/18/12	9669424	4585	
2517287008	Eukaryota	Finished	Encephalitozoon intestinalis ATCC 5050	Encephalitozoon intestinalis ATCC 5050	Fasteris	2517287008	Microsporidia	unclassified	unclassified	Unikaryonidae	Encephalitozoon	Encephalitozoon intestinalis	Yes	9/18/12	2216898	1892	
2518645524	Eukaryota	Permanent Draft	Anaerobic fungi	Pecoramyces ruminatium C1A	American Museum of Natural History	2518645524	Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Pecoramyces	Pecoramyces ruminantium	Yes	4/24/13	20761636	16343	
2506783003	Eukaryota	Permanent Draft	Beauveria bassiana CH	Beauveria bassiana CH	Beijing Genomics Institute (BGI)	2506783003	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	Beauveria bassiana	Yes	10/30/13	33705559	40500	
2506520004	Eukaryota	Permanent Draft	Cercospora sojina	Cercospora sojina		2506520004	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Cercospora	Cercospora sojina	Yes	10/30/13	29949529	39435	
2502545044	Eukaryota	Permanent Draft	Sclerotinia homoeocarpa 04-21	Clarireedia homoeocarpa 04-21		2502545044	Ascomycota	Leotiomycetes	Helotiales	Rutstroemiaceae	Clarireedia	Clarireedia homoeocarpa	Yes	10/30/13	40323539	43967	
2506783005	Eukaryota	Permanent Draft	Neocallimastix sp. str. SC4 sequencing	Neocallimastix sp. SC4	Prognosys Biosciences	2506783005	Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Neocallimastix	unclassified	Yes	10/30/13	10659919	14084	
2506520001	Eukaryota	Permanent Draft	Nematocida parisii ERTm1	Nematocida parisii ERTm1	Broad Institute	2506520001	Microsporidia	unclassified	unclassified	unclassified	Nematocida	Nematocida parisii	Yes	10/30/13	4070810	2953	
2515154002	Eukaryota	Permanent Draft	Yeast Natural Variant Strains YO486	Saccharomyces cerevisiae OS 92/A	Institute for Systems Biology	2515154002	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	Yes	8/6/15	13482761	9521	
2510917007	Eukaryota	Permanent Draft	Anaerobic fungi	Pecoramyces ruminatium C1A	American Museum of Natural History	2510917007	Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Pecoramyces	Pecoramyces ruminantium	Yes	8/6/15	12821263	14392	
2519899516	Eukaryota	Permanent Draft	Cryptococcus flavescens OH182.9_3C genome	Papiliotrema flavescens OH182.9_3C	"Ohio Agricultural Research and Development Center, Ohio State University"	2519899516	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremaceae	Papiliotrema	Papiliotrema flavescens	Yes	2/1/17	22790521	40074	
2738541350	Eukaryota	Finished	Candida albicans SC5314	Candida albicans SC5314	Stanford University	2738541350	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida albicans	Yes	6/28/17	14282666	6245	
2739368108	Eukaryota	Permanent Draft	Kluyveromyces marxianus DMKU3-1042	Kluyveromyces marxianus DMKU3-1042	National Institute of Technology and Evaluation	2739368108	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces marxianus	Yes	7/17/17	10920159	5127	
2739368091	Eukaryota	Finished	Kluyveromyces marxianus NBRC 1777	Kluyveromyces marxianus NBRC 1777	Kobe University	2739368091	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces marxianus	Yes	7/17/17	10895581	5112	
2739368093	Eukaryota	Finished	Ashbya aceris FD-2008	Ashbya aceris FD-2008	"Blumeria Sequencing Consortium, Duke University"	2739368093	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Eremothecium	[Ashbya] aceris (nom. inval.)	Yes	7/17/17	8894523	4690	
2739368116	Eukaryota	Finished	Sequencing of the ascomycetous phytopathogenic fungus Fusarium fujikuroi.	Fusarium fujikuroi IMI 58289	Helmholtz Zentrum Munchen	2739368116	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium fujikuroi	Yes	7/17/17	43832314	15098	
2739368111	Eukaryota	Permanent Draft	Broad institute Pneumocystis genome sequencing	Pneumocystis carinii B80	Broad Institute	2739368111	Ascomycota	Pneumocystomycetes	Pneumocystales	Pneumocystaceae	Pneumocystis	Pneumocystis carinii	Yes	7/17/17	7661456	3695	
2739368083	Eukaryota	Draft	The genome sequence of Kazachstania saulgeensis type strain CLIB 1764	Kazachstania saulgeensis CLIB1764	National Institute for Agricultural Research (INRA)	2739368083	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania saulgeensis	Yes	7/17/17	12935755	5532	
2739368104	Eukaryota	Finished	Genome sequence of an isolate of brewer's yeast Saccharomyces cerevisiae	Saccharomyces cerevisiae YJM1078	Duke University	2739368104	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	Yes	7/17/17	11851302	6133	
2739368086	Eukaryota	Finished	Zygosaccharomyces parabailii ATCC 60483 genome sequencing	Zygosaccharomyces parabailii ATCC 60483	University College Dublin	2739368086	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces	Zygosaccharomyces parabailii	Yes	7/17/17	20858976	10615	
2739368109	Eukaryota	Permanent Draft	Saccharomyces cerevisiae EC1118	Saccharomyces cerevisiae EC1118	CEA Genoscope	2739368109	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	Yes	7/17/17	11659512	6402	
2739368081	Eukaryota	Finished	Yarrowia lipolytica CLIB89 (W29) genome sequencing	Yarrowia lipolytica CLIB89(W29)	"University of California, Irvine"	2739368081	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Yarrowia	Yarrowia lipolytica	Yes	7/17/17	20547992	8631	
2739368084	Eukaryota	Finished	Genome sequencing of Candida intermedia strains	Candida intermedia CBS 141442	Chalmers University of Technology	2739368084	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Candida/Metschnikowiaceae	[Candida] intermedia	Yes	7/17/17	13162108	5931	
2739368118	Eukaryota	Permanent Draft	Trichophyton rubrum CMCC(F)T1i genome sequencing	Trichophyton rubrum CMCC(F)T1i	Chinese Academy of Medical Science & Peking Union Medical College	2739368118	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton rubrum	Yes	7/17/17	22301977	7051	
2739368103	Eukaryota	Permanent Draft	Broad institute Pneumocystis genome sequencing	Pneumocystis jirovecii RU7	Broad Institute	2739368103	Ascomycota	Pneumocystomycetes	Pneumocystales	Pneumocystaceae	Pneumocystis	Pneumocystis jirovecii	Yes	7/17/17	8396240	3811	
