"Feature"	"FeatureName"	"Mean.Resolute3(n=3)"	"Mean.SvalbardTaylor(n=6)"	"StdErr.Resolute3(n=3)"	"StdErr.SvalbardTaylor(n=6)"	"FishersTest.Pval"	"FishersTest.adjPval"	"3300038653.Resolute3"	"3300039024.Resolute3"	"3300039023.Resolute3"	"3300061232.SvalbardTaylor"	"3300061231.SvalbardTaylor"	"3300061096.SvalbardTaylor"	"3300061097.SvalbardTaylor"	"3300061098.SvalbardTaylor"	"3300061230.SvalbardTaylor"
"Acidiphilium"	"Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium"	"0"	"432.666666666667"	"0"	"151.160547468945"	"5.19299024341781e-42"	"2.56368886593385e-41"	"0"	"0"	"0"	"457"	"1138"	"212"	"155"	"185"	"449"
"Acidipila"	"Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidipila"	"0"	"383.833333333333"	"0"	"111.179859287153"	"3.50155330731701e-37"	"1.61889997065566e-36"	"0"	"0"	"0"	"433"	"883"	"236"	"141"	"191"	"419"
"Acidiplasma"	"Archaea;Candidatus Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;Acidiplasma"	"0"	"4"	"0"	"0.632455532033676"	"1"	"1"	"0"	"0"	"0"	"3"	"7"	"4"	"3"	"3"	"4"
"Acidipropionibacterium"	"Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium"	"0"	"161.5"	"0"	"57.1067713439775"	"7.82293890981565e-16"	"2.17953880583038e-15"	"0"	"0"	"0"	"205"	"405"	"65"	"37"	"59"	"198"
"Acidisarcina"	"Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidisarcina"	"0"	"348.166666666667"	"0"	"106.086259451658"	"6.5125605535666e-34"	"2.80083812263455e-33"	"0"	"0"	"0"	"347"	"834"	"204"	"142"	"160"	"402"
"Acidithiobacillus"	"Bacteria;Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus"	"0"	"526.833333333333"	"0"	"143.357226690685"	"6.79249845462742e-51"	"3.73937543790829e-50"	"0"	"0"	"0"	"597"	"1198"	"323"	"278"	"293"	"472"
"Acidithrix"	"Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidithrix"	"0"	"464.666666666667"	"0"	"142.675544895091"	"5.89865521658784e-45"	"3.01424103890709e-44"	"0"	"0"	"0"	"317"	"1166"	"306"	"263"	"289"	"447"
"Acidobacterium"	"Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidobacterium"	"0"	"494.166666666667"	"0"	"148.03657581077"	"9.41806738627063e-48"	"4.97945344977081e-47"	"0"	"0"	"0"	"489"	"1195"	"319"	"206"	"265"	"491"
"Acidocella"	"Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidocella"	"0"	"242"	"0"	"98.1036866449642"	"1.20934436671332e-23"	"4.17087120661946e-23"	"0"	"0"	"0"	"234"	"702"	"97"	"58"	"95"	"266"
"Acidomonas"	"Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidomonas"	"0"	"34"	"0"	"13.9379577652778"	"0.00104203151039752"	"0.00151826692101576"	"0"	"0"	"0"	"39"	"97"	"9"	"6"	"14"	"39"
"Acidomyces"	"Eukaryota;Ascomycota;Dothideomycetes;Mycosphaerellales;Teratosphaeriaceae;Acidomyces"	"0"	"12"	"0"	"3.25576411921994"	"0.116581633471385"	"0.137895812751939"	"0"	"0"	"0"	"15"	"16"	"10"	"3"	"4"	"24"
"Acidothermus"	"Bacteria;Actinomycetota;Actinomycetes;Acidothermales;Acidothermaceae;Acidothermus"	"0"	"506.166666666667"	"0"	"151.634520402769"	"6.52156906427673e-49"	"3.50589048354742e-48"	"0"	"0"	"0"	"529"	"1238"	"301"	"259"	"306"	"404"
"Acidovorax"	"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"	"9"	"7718.5"	"9"	"2450.09795382416"	"0"	"0"	"0"	"0"	"27"	"7890"	"19025"	"3672"	"3412"	"3664"	"8648"
"Aciduliprofundum"	"Archaea;Candidatus Thermoplasmatota;unclassified;unclassified;unclassified;Aciduliprofundum"	"0"	"15.6666666666667"	"0"	"2.90593262902712"	"0.0521480677220758"	"0.0643569936704289"	"0"	"0"	"0"	"18"	"28"	"13"	"12"	"7"	"16"
"Acinetobacter"	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter"	"25.6666666666667"	"620.166666666667"	"7.31057073315377"	"167.926455463231"	"1.80325172001244e-08"	"3.62233135480869e-08"	"16"	"40"	"21"	"835"	"1302"	"319"	"262"	"292"	"711"
"Actibacterium"	"Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Actibacterium"	"0"	"262.833333333333"	"0"	"112.574543204837"	"1.2651833867795e-25"	"4.59597230299492e-25"	"0"	"0"	"0"	"224"	"795"	"108"	"78"	"73"	"299"
"Actinacidiphila"	"Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Actinacidiphila"	"0"	"451.833333333333"	"0"	"160.763058913144"	"7.95933302816134e-44"	"4.02235063442097e-43"	"0"	"0"	"0"	"450"	"1226"	"254"	"209"	"179"	"393"
"Actinoallomurus"	"Bacteria;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Actinoallomurus"	"0"	"263.166666666667"	"0"	"84.3656393984607"	"1.31052038549868e-25"	"4.75527442257958e-25"	"0"	"0"	"0"	"253"	"671"	"156"	"156"	"111"	"232"
"Actinoalloteichus"	"Bacteria;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Actinoalloteichus"	"0"	"223"	"0"	"66.3033433043413"	"7.98411606466066e-22"	"2.61298343934349e-21"	"0"	"0"	"0"	"206"	"545"	"136"	"126"	"120"	"205"
"Actinobacillus"	"Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus"	"0.333333333333333"	"29"	"0.333333333333333"	"9.78093383408081"	"0.0236257837233032"	"0.0303151826389521"	"0"	"0"	"1"	"41"	"68"	"11"	"5"	"13"	"36"
"Actinobaculum"	"Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinobaculum"	"0"	"43.8333333333333"	"0"	"13.4521786752597"	"0.000100029654620327"	"0.000159374037660028"	"0"	"0"	"0"	"56"	"96"	"22"	"12"	"16"	"61"
"Actinocatenispora"	"Bacteria;Actinomycetota;Actinomycetes;Micromonosporales;Micromonosporaceae;Actinocatenispora"	"0"	"167.333333333333"	"0"	"49.699541692499"	"1.5535858028332e-16"	"4.45630162245083e-16"	"0"	"0"	"0"	"146"	"412"	"100"	"108"	"96"	"142"
"Actinocorallia"	"Bacteria;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Actinocorallia"	"0"	"369.833333333333"	"0"	"125.685962267515"	"7.17480772252284e-36"	"3.2377583018258e-35"	"0"	"0"	"0"	"348"	"974"	"198"	"175"	"168"	"356"
"Actinocrispum"	"Bacteria;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Actinocrispum"	"0"	"158.666666666667"	"0"	"50.0131093925494"	"1.04613757183499e-15"	"2.90704664367676e-15"	"0"	"0"	"0"	"146"	"402"	"101"	"88"	"75"	"140"
"Actinokineospora"	"Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Actinokineospora"	"0.333333333333333"	"831.5"	"0.333333333333333"	"255.296657505212"	"7.43244584086678e-78"	"5.32741755573538e-77"	"0"	"0"	"1"	"720"	"2077"	"531"	"455"	"437"	"769"
"Actinomadura"	"Bacteria;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Actinomadura"	"0"	"3420.5"	"0"	"1168.383691259"	"0"	"0"	"0"	"0"	"0"	"2831"	"9155"	"2063"	"1830"	"1638"	"3006"
"Actinomyces"	"Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces"	"0"	"489.166666666667"	"0"	"149.109672538184"	"1.82447545418857e-47"	"9.57074678092747e-47"	"0"	"0"	"0"	"586"	"1168"	"242"	"241"	"217"	"481"
"Actinomycetospora"	"Bacteria;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Actinomycetospora"	"0"	"525"	"0"	"149.624418684474"	"9.79923261565989e-51"	"5.37615433229012e-50"	"0"	"0"	"0"	"419"	"1270"	"396"	"350"	"326"	"389"
"Actinophytocola"	"Bacteria;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Actinophytocola"	"0"	"368.833333333333"	"0"	"122.056384966585"	"6.75966132651065e-36"	"3.05903317657346e-35"	"0"	"0"	"0"	"321"	"969"	"219"	"207"	"190"	"307"
"Actinoplanes"	"Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes"	"0.333333333333333"	"3178"	"0.333333333333333"	"1107.75355261598"	"1.22356195757209e-302"	"2.20241152362976e-301"	"0"	"0"	"1"	"2834"	"8579"	"1776"	"1549"	"1512"	"2818"
"Actinopolymorpha"	"Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Actinopolymorphaceae;Actinopolymorpha"	"0"	"977"	"0"	"283.952343419337"	"3.37013323265154e-94"	"2.72674416096352e-93"	"0"	"0"	"0"	"842"	"2380"	"678"	"580"	"587"	"795"
"Actinopolyspora"	"Bacteria;Actinomycetota;Actinomycetes;Actinopolysporales;Actinopolysporaceae;Actinopolyspora"	"0"	"173.166666666667"	"0"	"55.5790228213647"	"5.16137411395875e-17"	"1.49927857308466e-16"	"0"	"0"	"0"	"145"	"446"	"119"	"114"	"73"	"142"
"Actinorugispora"	"Bacteria;Actinomycetota;Actinomycetes;Streptosporangiales;Nocardiopsaceae;Actinorugispora"	"0"	"58.6666666666667"	"0"	"17.0482974060299"	"4.70701882415049e-06"	"8.18745293842463e-06"	"0"	"0"	"0"	"46"	"140"	"41"	"40"	"23"	"62"
"Actinospica"	"Bacteria;Actinomycetota;Actinomycetes;Catenulisporales;Actinospicaceae;Actinospica"	"0"	"178.5"	"0"	"65.8593197656945"	"1.66889955397866e-17"	"4.91918506986902e-17"	"0"	"0"	"0"	"151"	"503"	"91"	"94"	"89"	"143"
"Actinosynnema"	"Bacteria;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Actinosynnema"	"0"	"219.333333333333"	"0"	"79.97985857563"	"1.686895712889e-21"	"5.46492807289824e-21"	"0"	"0"	"0"	"194"	"610"	"123"	"86"	"117"	"186"
"Actinotalea"	"Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Cellulomonadaceae;Actinotalea"	"0"	"701.166666666667"	"0"	"236.819399074015"	"8.77784129954219e-68"	"5.70470659710612e-67"	"0"	"0"	"0"	"820"	"1796"	"301"	"323"	"294"	"673"
"Actinotignum"	"Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinotignum"	"0"	"22.1666666666667"	"0"	"6.45712354260351"	"0.0166319402284791"	"0.0215395054535356"	"0"	"0"	"0"	"21"	"52"	"13"	"8"	"14"	"25"
"Acuticoccus"	"Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Amorphaceae;Acuticoccus"	"0"	"175.333333333333"	"0"	"69.1224356566745"	"3.70408631867637e-17"	"1.08283691286853e-16"	"0"	"0"	"0"	"179"	"497"	"61"	"55"	"66"	"194"
"Acyrthosiphon"	"Eukaryota;Arthropoda;Insecta;Hemiptera;Aphididae;Acyrthosiphon"	"0.333333333333333"	"84.5"	"0.333333333333333"	"14.9236948061352"	"2.90772940033896e-07"	"5.464143694244e-07"	"0"	"0"	"1"	"70"	"90"	"89"	"24"	"135"	"99"
"Adhaeribacter"	"Bacteria;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter"	"0"	"2310.33333333333"	"0"	"429.378284396301"	"3.44432032178175e-222"	"4.94870058788732e-221"	"0"	"0"	"0"	"3484"	"3269"	"1449"	"1309"	"1323"	"3028"
"Adlercreutzia"	"Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Adlercreutzia"	"0"	"57.5"	"0"	"22.6196816953732"	"7.29211191397935e-06"	"1.25074553385385e-05"	"0"	"0"	"0"	"129"	"116"	"12"	"11"	"8"	"69"
"Adustoporia"	"Eukaryota;Basidiomycota;Agaricomycetes;Polyporales;Adustoporiaceae;Adustoporia"	"0"	"2.66666666666667"	"0"	"0.557773351022717"	"1"	"1"	"0"	"0"	"0"	"3"	"4"	"3"	"1"	"1"	"4"
"Advenella"	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Advenella"	"0"	"150"	"0"	"55.0660209808796"	"7.04912853013919e-15"	"1.89793342945932e-14"	"0"	"0"	"0"	"178"	"403"	"65"	"61"	"45"	"148"
"Aedes"	"Eukaryota;Arthropoda;Insecta;Diptera;Culicidae;Aedes"	"0.333333333333333"	"25.5"	"0.333333333333333"	"3.93912003709796"	"0.0481574289994466"	"0.0595739005846436"	"0"	"0"	"1"	"21"	"25"	"36"	"9"	"32"	"30"
"Aegirvirus"	"Viruses;Uroviricota;Caudoviricetes;unclassified;Autographiviridae;Aegirvirus"	"0"	"0.333333333333333"	"0"	"0.333333333333333"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"
"Aequoribacter"	"Bacteria;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Halieaceae;Aequoribacter"	"0"	"26.6666666666667"	"0"	"10.0719632864921"	"0.00490501606635085"	"0.00673913871208753"	"0"	"0"	"0"	"30"	"74"	"9"	"14"	"9"	"24"
"Aequorivita"	"Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aequorivita"	"1"	"652.833333333333"	"1"	"99.4533112124032"	"2.16667977898542e-57"	"1.28081955938548e-56"	"0"	"0"	"3"	"952"	"814"	"496"	"354"	"467"	"834"
"Aeribacillus"	"Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Aeribacillus"	"0"	"39.3333333333333"	"0"	"13.0247627404281"	"0.000326392781381546"	"0.000496563376802694"	"0"	"0"	"0"	"45"	"100"	"19"	"19"	"16"	"37"
"Aeriscardovia"	"Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Aeriscardovia"	"0"	"2"	"0"	"1.4142135623731"	"1"	"1"	"0"	"0"	"0"	"1"	"9"	"1"	"1"	"0"	"0"
"Aerococcus"	"Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus"	"0"	"114.5"	"0"	"40.213389146734"	"2.27116895773724e-11"	"5.23512614430944e-11"	"0"	"0"	"0"	"148"	"285"	"45"	"39"	"30"	"140"
"Aeromicrobium"	"Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Aeromicrobium"	"0"	"2583.16666666667"	"0"	"552.266204933012"	"3.00827831991928e-248"	"4.6562916603968e-247"	"0"	"0"	"0"	"1556"	"4047"	"1941"	"4533"	"2040"	"1382"
"Aeromonas"	"Bacteria;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas"	"0"	"461.166666666667"	"0"	"153.846550533677"	"1.25468826958285e-44"	"6.40130766838129e-44"	"0"	"0"	"0"	"519"	"1164"	"207"	"163"	"220"	"494"
"Aerophototrophica"	"Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Aerophototrophica"	"0"	"280.666666666667"	"0"	"113.026152332596"	"3.00638403255976e-27"	"1.12528673368241e-26"	"0"	"0"	"0"	"314"	"794"	"96"	"76"	"79"	"325"
"Aeropyrum"	"Archaea;Thermoproteota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum"	"0"	"3.66666666666667"	"0"	"1.38242942355518"	"1"	"1"	"0"	"0"	"0"	"6"	"9"	"0"	"1"	"4"	"2"
"Aestuariibacter"	"Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Aestuariibacter"	"0"	"30.8333333333333"	"0"	"10.044622663119"	"0.00231946301356471"	"0.00327237318162102"	"0"	"0"	"0"	"35"	"76"	"13"	"9"	"18"	"34"
